,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
33,Jaroslav Halak,27,STL,16,15,6,5,1,29,286,257,0.899,2.14,3,1.3,813,7,0.467,4,115,-3.81,0,1,1,0
34,Josh Harding,28,MIN,5,3,1,1,0,10,73,63,0.863,3.24,1,0,185,1,0.333,2,,,0,0,0,0
35,Johan Hedberg,39,NJD,19,19,6,10,3,51,435,384,0.883,2.76,1,1.2,1108,9,0.474,6,133,-12.69,0,1,1,4
36,Jonas Hiller,30,ANA,26,25,15,6,4,59,675,616,0.913,2.36,1,4.2,1498,14,0.56,2,99,0.45,0,1,1,2
37,Braden Holtby,23,WSH,36,35,23,12,1,90,1123,1033,0.92,2.58,4,8,2089,20,0.571,5,91,8.91,0,2,2,2
38,Jimmy Howard,28,DET,42,42,21,13,7,87,1129,1042,0.923,2.13,5,8.4,2446,26,0.619,7,87,12.44,0,1,1,0
39,Carter Hutton,27,CHI,1,1,0,1,0,3,28,25,0.893,3.06,0,0.1,59,0,0,0,,,0,0,0,0
40,Leland Irving,24,CGY,6,5,2,1,1,15,128,113,0.883,3.33,0,0.3,270,1,0.2,2,,,0,1,1,0
41,Chad Johnson,26,PHX,4,4,2,0,2,5,108,103,0.954,1.22,1,1.2,247,3,0.75,0,,,0,0,0,0
42,Nikolai Khabibulin,40,EDM,12,11,4,6,1,29,376,347,0.923,2.55,1,2.8,684,6,0.545,1,88,4.12,0,0,0,0
43,Anton Khudobin,26,BOS,14,14,9,4,1,31,388,357,0.92,2.32,1,2.8,803,8,0.571,3,91,3.17,0,0,0,4
44,Keith Kinkaid,23,NJD,1,0,0,0,0,1,13,12,0.923,2.33,0,0.1,26,0,,0,,,0,0,0,0
45,Miikka Kiprusoff,36,CGY,24,24,8,14,2,77,650,573,0.882,3.44,0,1.6,1344,10,0.417,9,134,-19.75,0,1,1,0
46,Darcy Kuemper,22,MIN,6,3,1,2,0,10,119,109,0.916,2.08,0,0.8,288,2,0.667,0,,,0,0,0,0
47,Jason LaBarbera,33,PHX,15,10,4,6,2,32,418,386,0.923,2.64,0,3.1,726,5,0.5,0,87,4.82,0,0,0,0
48,Robin Lehner,21,OTT,12,12,5,3,4,27,424,397,0.936,2.2,0,3.8,735,10,0.833,0,72,10.34,0,0,0,0
49,Kari Lehtonen,29,DAL,36,35,15,14,3,88,1050,962,0.916,2.66,1,7,1986,21,0.6,5,95,4.48,0,2,2,0
50,Michael Leighton,31,PHI,1,1,0,1,0,5,26,21,0.808,5.07,0,-0.2,59,0,0,1,,,0,0,0,0
51,Anders Lindbäck,24,TBL,24,21,10,10,1,63,642,579,0.902,2.9,0,3.2,1304,11,0.524,3,111,-6.45,0,1,1,0
52,Henrik Lundqvist,30,NYR,43,43,24,16,3,88,1190,1102,0.926,2.05,2,9.3,2575,29,0.674,1,84,16.81,0,1,1,0
53,Roberto Luongo,33,VAN,20,18,9,6,3,51,551,500,0.907,2.56,2,3.1,1197,11,0.611,3,105,-2.47,0,0,0,0
54,Joey MacDonald,32,CGY,21,17,8,9,1,55,562,507,0.902,2.87,0,2.8,1148,7,0.412,3,111,-5.5,0,0,0,0
55,Jacob Markstrom,23,FLA,23,23,8,14,1,68,685,617,0.901,3.22,0,3.3,1266,9,0.391,6,113,-7.67,0,0,0,0
56,Chris Mason,36,NSH,11,6,1,7,1,29,229,200,0.873,3.73,0,0.4,467,3,0.5,2,144,-8.83,0,0,0,0
57,Steve Mason,24,TOT,20,17,7,8,1,47,561,514,0.916,2.59,0,3.7,1090,7,0.412,1,95,2.41,0,1,1,0
57,Steve Mason,24,CBJ,13,11,3,6,1,35,346,311,0.899,2.95,0,1.6,712,3,0.273,1,115,-4.53,0,0,0,0
57,Steve Mason,24,PHI,7,6,4,2,0,12,215,203,0.944,1.9,0,2.2,378,4,0.667,0,63,6.94,0,1,1,0
58,Ryan Miller,32,BUF,40,39,17,17,5,108,1270,1162,0.915,2.81,0,8.3,2302,21,0.538,4,97,3.86,0,0,0,2
59,Al Montoya,27,WPG,7,5,3,1,0,17,168,151,0.899,2.9,1,0.8,351,2,0.4,2,,,0,0,0,0
60,Petr Mrazek,20,DET,2,2,1,1,0,4,51,47,0.922,2.01,0,0.4,119,1,0.5,0,,,0,0,0,0
61,Evgeni Nabokov,37,NYI,41,41,23,11,7,103,1139,1036,0.91,2.5,3,6.7,2475,20,0.488,5,103,-2.68,0,4,4,6
62,Michal Neuvirth,24,WSH,13,12,4,5,2,33,367,334,0.91,2.74,0,2.2,723,7,0.583,2,102,-0.68,0,0,0,0
63,Antti Niemi,29,SJS,43,43,24,12,6,93,1220,1127,0.924,2.16,4,9.2,2581,29,0.674,3,87,14.45,0,1,1,2
64,Cristopher Nilstorp,28,DAL,5,5,1,3,1,15,146,131,0.897,3.09,0,0.6,291,2,0.4,2,,,0,0,0,0
65,Ondrej Pavelec,25,WPG,44,43,21,20,3,119,1251,1132,0.905,2.8,0,6.6,2553,19,0.442,8,108,-8.82,0,0,0,2
66,Justin Peters,26,CAR,19,16,4,11,1,55,506,451,0.891,3.46,1,1.9,954,6,0.375,3,123,-10.43,0,0,0,0
67,Kevin Poulin,22,NYI,5,4,1,3,0,13,122,109,0.893,3.03,0,0.5,258,2,0.5,1,,,0,0,0,0
68,Carey Price,25,MTL,39,38,21,13,4,97,1018,921,0.905,2.59,3,5.4,2249,21,0.553,8,108,-7.34,0,0,0,0
69,Jonathan Quick,27,LAK,37,36,18,13,4,87,889,802,0.902,2.45,1,4.4,2134,20,0.556,9,111,-8.7,0,0,0,2
70,Tuukka Rask,25,BOS,36,34,19,10,5,70,980,910,0.929,2,5,8,2104,25,0.735,4,81,16.32,0,1,1,0
71,James Reimer,24,TOR,33,31,19,8,5,76,995,919,0.924,2.46,4,7.5,1856,17,0.548,2,87,11.64,0,1,1,0
72,Pekka Rinne,30,NSH,43,42,15,16,8,99,1101,1002,0.91,2.43,5,6.5,2444,22,0.524,10,102,-2.03,0,1,1,8
73,Jussi Rynnas,25,TOR,1,0,0,0,0,0,6,6,1,0,0,0.1,10,0,,0,,,0,0,0,0
74,Cory Schneider,26,VAN,30,30,17,9,4,61,835,774,0.927,2.11,5,6.6,1733,21,0.7,4,83,12.54,0,1,1,0
75,Ben Scrivens,26,TOR,20,17,7,9,0,46,542,496,0.915,2.69,2,3.5,1025,10,0.588,3,96,1.74,0,0,0,6
76,Mike Smith,30,PHX,34,34,15,12,5,84,938,854,0.91,2.58,5,5.6,1956,17,0.5,7,102,-1.38,0,0,0,0
77,Alex Stalock,25,SJS,2,0,0,0,1,2,13,11,0.846,2.87,0,0,42,0,,0,,,0,0,0,0
78,Daniel Taylor,26,CGY,2,2,1,1,0,6,68,62,0.912,3,0,0.4,120,1,0.5,0,,,0,0,0,0
79,Jose Theodore,36,FLA,15,14,4,6,3,42,391,349,0.893,3.29,0,1.5,766,5,0.357,5,122,-7.56,0,0,0,2
80,Semyon Varlamov,24,COL,35,33,11,21,3,98,1007,909,0.903,3.02,3,5.1,1950,12,0.364,7,110,-9.31,0,1,1,0
81,Tomas Vokoun,36,PIT,20,17,13,4,0,42,519,477,0.919,2.45,3,3.6,1029,9,0.529,5,92,3.71,0,2,2,2
82,Cam Ward,28,CAR,17,16,9,6,1,44,477,433,0.908,2.84,0,2.7,929,8,0.5,3,105,-1.99,0,0,0,0
