,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Sami Aittokallio,20,COL,1,1,0,0,0,2,25,23,0.92,2.43,0,0.2,49,1,1,0,,,0,0,0,0
2,Jake Allen,22,STL,15,13,9,4,0,33,346,313,0.905,2.46,1,1.8,804,6,0.462,4,108,-2.53,0,0,0,0
3,Craig Anderson,31,OTT,24,24,12,9,2,40,677,637,0.941,1.69,3,6.5,1421,17,0.708,1,67,19.63,0,0,0,0
4,Richard Bachman,25,DAL,13,8,6,5,0,33,288,255,0.885,3.25,0,0.9,609,4,0.5,3,130,-7.63,0,0,0,0
5,Niklas Bäckström,34,MIN,42,41,24,15,3,98,1072,974,0.909,2.48,2,6.2,2368,18,0.439,8,104,-3.58,0,0,0,2
6,Jonathan Bernier,24,LAK,14,12,9,3,1,24,306,282,0.922,1.87,1,2.2,768,8,0.667,1,89,2.95,0,1,1,0
7,Martin Biron,35,NYR,6,5,2,2,1,13,156,143,0.917,2.32,0,1,336,2,0.4,1,,,0,0,0,0
8,Ben Bishop,26,TOT,22,21,11,9,1,56,701,645,0.92,2.67,2,5,1260,14,0.667,3,91,5.74,0,0,0,2
8,Ben Bishop,26,OTT,13,12,8,5,0,31,399,368,0.922,2.45,1,3,758,8,0.667,3,88,4.14,0,0,0,0
8,Ben Bishop,26,TBL,9,9,3,4,1,25,302,277,0.917,2.99,1,2,502,6,0.667,0,94,1.6,0,0,0,2
9,Sergei Bobrovsky,24,CBJ,38,37,21,11,6,74,1084,1010,0.932,2,4,9.2,2219,26,0.703,4,78,21.48,0,0,0,0
10,Brian Boucher,36,PHI,4,1,0,2,0,6,55,49,0.891,2.5,0,0.2,144,0,0,0,,,0,0,0,0
11,Martin Brodeur*,40,NJD,29,29,13,9,7,65,654,589,0.901,2.22,2,3.1,1757,15,0.517,6,113,-7.4,1,2,3,0
12,Ilya Bryzgalov,32,PHI,40,40,19,17,3,107,1066,959,0.9,2.79,1,5,2298,20,0.5,10,114,-13.11,0,3,3,0
13,Peter Budaj,30,MTL,13,10,8,1,1,25,273,248,0.908,2.28,1,1.6,656,6,0.6,2,104,-0.95,0,0,0,0
14,Scott Clemmensen,35,FLA,19,11,3,7,2,53,421,368,0.874,3.67,0,0.7,866,3,0.273,4,143,-15.92,0,0,0,0
15,Corey Crawford,28,CHI,30,28,19,5,5,57,769,712,0.926,1.94,3,6,1761,19,0.679,1,84,10.73,0,0,0,4
16,Yann Danis,31,EDM,3,0,1,0,0,7,59,52,0.881,3.81,0,0.1,110,0,,0,,,0,0,0,0
17,Cedrick Desjardins,27,TBL,3,2,0,3,0,8,73,65,0.89,3,0,0.3,160,0,0,0,,,0,0,0,0
18,Rick DiPietro,31,NYI,3,3,0,3,0,12,83,71,0.855,4.1,0,-0.1,176,0,0,1,,,0,0,0,0
19,Devan Dubnyk,26,EDM,38,37,14,16,6,90,1132,1042,0.92,2.57,2,8.1,2101,20,0.541,5,90,9.7,0,0,0,0
20,Brian Elliott,27,STL,24,20,14,8,1,49,526,477,0.907,2.28,3,2.9,1292,12,0.6,6,106,-2.67,0,0,0,0
21,Dan Ellis,32,CAR,19,16,6,8,2,52,555,503,0.906,3.13,1,3,997,8,0.5,4,106,-3.12,0,2,2,0
22,Ray Emery,30,CHI,21,19,17,1,0,36,460,424,0.922,1.94,3,3.4,1116,12,0.632,1,89,4.52,0,0,0,0
23,Jhonas Enroth,24,BUF,12,9,4,4,1,27,332,305,0.919,2.6,1,2.3,623,7,0.778,1,92,2.24,0,0,0,0
24,Viktor Fasth,30,ANA,25,23,15,6,2,52,661,609,0.921,2.18,4,4.8,1428,14,0.609,3,89,6.22,0,0,0,0
25,Marc-Andre Fleury,28,PIT,33,31,23,8,0,74,881,807,0.916,2.39,1,5.9,1858,15,0.484,5,95,3.6,0,2,2,2
26,Jeff Frazee,25,NJD,1,0,0,0,0,0,3,3,1,0,0,0.1,19,0,,0,,,0,0,0,0
27,Mathieu Garon,35,TBL,18,16,5,9,2,44,427,383,0.897,2.9,0,1.9,910,6,0.375,4,117,-6.39,0,0,0,0
28,Jean-Sebastien Giguere,35,COL,18,14,5,4,4,43,469,426,0.908,2.84,0,2.7,908,4,0.286,1,104,-1.69,0,0,0,4
29,Thomas Greiss,27,SJS,6,5,1,4,0,13,153,140,0.915,2.53,1,1,308,3,0.6,1,,,0,0,0,0
30,Philipp Grubauer,21,WSH,2,1,0,1,0,5,59,54,0.915,3.57,0,0.4,84,0,0,0,,,0,0,0,0
31,Jonas Gustavsson,28,DET,7,4,2,2,1,17,140,123,0.879,2.92,0,0.3,349,2,0.5,1,,,0,1,1,2
32,Matt Hackett,22,MIN,1,1,0,1,0,5,33,28,0.848,5.07,0,0,59,0,0,1,,,0,0,0,0
