,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
20,Wade Dubielewicz,31,MIN,3,1,1,1,0,5,34,29,0.853,2.98,0,0,101,0,0,1,,,0,0,0,0
21,Devan Dubnyk,23,EDM,19,16,4,10,2,64,579,515,0.889,3.57,0,2,1075,5,0.313,4,125,-12.62,0,0,0,0
22,Jeremy Duchesne,23,PHI,1,0,0,0,0,1,4,3,0.75,3.59,0,-0.1,17,0,,0,,,0,0,0,0
23,Brian Elliott,24,OTT,55,47,29,18,4,130,1424,1294,0.909,2.57,5,8.1,3038,25,0.532,9,103,-3.65,0,1,1,0
24,Dan Ellis,29,NSH,31,28,15,13,1,77,848,771,0.909,2.69,1,4.9,1715,14,0.5,5,102,-1.76,0,1,1,4
25,Ray Emery,27,PHI,29,29,16,11,1,74,783,709,0.905,2.64,3,4.2,1684,16,0.552,6,107,-4.52,0,1,1,2
26,Jhonas Enroth,21,BUF,1,1,0,1,0,4,37,33,0.892,4.12,0,0.1,58,0,0,0,,,0,0,0,0
27,Erik Ersberg,27,LAK,11,7,4,3,2,22,234,212,0.906,2.4,0,1.3,551,4,0.571,1,,,0,0,0,0
28,Marc-Andre Fleury,25,PIT,67,65,37,21,6,168,1772,1604,0.905,2.65,1,9.4,3798,30,0.462,11,107,-10.77,0,1,1,10
29,Mathieu Garon,32,CBJ,35,27,12,9,6,83,858,775,0.903,2.81,2,4.4,1771,17,0.63,7,109,-6.87,0,0,0,2
30,Jean-Sebastien Giguere,32,TOT,35,32,10,15,7,96,1031,935,0.907,2.85,3,5.7,2023,14,0.438,4,105,-4.52,0,0,0,2
30,Jean-Sebastien Giguere,32,ANA,20,17,4,8,5,58,580,522,0.9,3.14,1,2.7,1108,6,0.353,3,113,-6.54,0,0,0,2
30,Jean-Sebastien Giguere,32,TOR,15,15,6,7,2,38,451,413,0.916,2.49,2,2.9,915,8,0.533,1,95,2.02,0,0,0,0
31,Thomas Greiss,24,SJS,16,10,7,4,1,35,399,364,0.912,2.68,0,2.4,782,7,0.7,0,99,0.4,0,0,0,2
32,Jonas Gustavsson,25,TOR,42,39,16,15,9,112,1146,1034,0.902,2.87,1,5.7,2340,14,0.359,5,110,-10.31,0,2,2,2
33,Jaroslav Halak,24,MTL,45,43,26,13,5,105,1386,1281,0.924,2.4,5,10.4,2630,26,0.605,5,85,17.98,0,0,0,0
34,Josh Harding,25,MIN,25,22,9,12,0,66,692,626,0.905,3.05,1,3.6,1300,9,0.409,4,107,-4.6,0,1,1,4
35,Johan Hedberg,36,ATL,47,42,21,16,6,115,1355,1240,0.915,2.62,3,8.7,2632,23,0.548,6,96,5.23,0,1,1,6
36,Jonas Hiller,27,ANA,59,58,30,23,4,152,1860,1708,0.918,2.73,2,12.7,3338,32,0.552,7,92,13.04,0,2,2,0
37,Jimmy Howard,25,DET,63,60,37,15,10,141,1849,1708,0.924,2.26,3,13.8,3740,36,0.6,7,86,23.06,0,2,2,2
38,Cristobal Huet,34,CHI,48,46,26,14,4,114,1083,969,0.895,2.5,4,4.4,2731,24,0.522,13,119,-17.9,0,0,0,4
39,Brent Johnson,32,PIT,23,15,10,6,1,51,541,490,0.906,2.76,0,2.9,1108,8,0.533,3,106,-3,0,1,1,0
40,Chad Johnson,23,NYR,5,4,1,2,1,11,135,124,0.919,2.35,0,0.9,281,2,0.5,0,,,0,1,1,0
41,Nikolai Khabibulin,37,EDM,18,18,7,9,2,55,602,547,0.909,3.03,0,3.4,1089,9,0.5,1,103,-1.58,0,0,0,4
42,Anton Khudobin,23,MIN,2,1,2,0,0,1,48,47,0.979,0.86,0,0.7,69,1,1,0,,,0,0,0,0
43,Miikka Kiprusoff,33,CGY,73,71,35,28,10,163,2035,1872,0.92,2.31,4,14.3,4235,44,0.62,9,90,17.57,0,0,0,4
44,Jason LaBarbera,30,PHX,17,13,8,5,1,33,459,426,0.928,2.13,0,3.7,928,10,0.769,2,81,7.73,0,0,0,0
45,Patrick Lalime,35,BUF,16,13,4,8,2,40,432,392,0.907,2.81,0,2.4,854,6,0.462,3,104,-1.67,0,0,0,2
46,Pascal Leclaire,27,OTT,34,31,12,14,2,93,822,729,0.887,3.2,0,2.6,1745,14,0.452,9,128,-20.06,0,0,0,2
47,Manny Legace,36,CAR,28,24,10,7,5,69,745,676,0.907,2.81,1,4.1,1472,11,0.458,4,104,-2.9,0,1,1,0
48,Kari Lehtonen,26,DAL,12,10,6,4,0,31,350,319,0.911,2.81,0,2.1,663,5,0.5,1,100,0.06,0,1,1,0
49,Michael Leighton,28,TOT,34,31,17,9,2,85,899,814,0.905,2.83,1,4.8,1799,19,0.613,6,107,-5.23,0,1,1,0
49,Michael Leighton,28,PHI,27,26,16,5,2,60,735,675,0.918,2.48,1,5,1449,18,0.692,4,92,5.22,0,1,1,0
49,Michael Leighton,28,CAR,7,5,1,4,0,25,164,139,0.848,4.28,0,-0.2,350,1,0.2,2,,,0,0,0,0
50,Henrik Lundqvist,27,NYR,73,72,35,27,10,167,2109,1942,0.921,2.38,4,15,4204,44,0.611,10,89,20.13,0,1,1,0
51,Roberto Luongo,30,VAN,68,67,40,22,4,167,1915,1748,0.913,2.57,4,11.8,3899,41,0.612,10,98,2.92,0,0,0,0
52,Joey MacDonald,29,TOR,6,5,1,4,0,17,157,140,0.892,3.2,0,0.6,319,2,0.4,1,,,0,0,0,0
53,Chris Mason,33,STL,61,61,30,22,8,148,1699,1551,0.913,2.53,2,10.5,3512,36,0.59,10,98,2.75,0,0,0,0
54,Steve Mason,21,CBJ,58,54,20,26,9,163,1653,1490,0.901,3.05,5,8,3201,25,0.463,15,111,-16.33,0,2,2,2
55,Curtis McElhinney,26,TOT,20,14,8,5,2,51,523,472,0.902,2.99,0,2.6,1023,6,0.429,1,110,-4.59,0,0,0,0
55,Curtis McElhinney,26,ANA,10,7,5,1,2,24,288,264,0.917,2.76,0,1.9,521,4,0.571,0,,,0,0,0,0
55,Curtis McElhinney,26,CGY,10,7,3,4,0,27,235,208,0.885,3.22,0,0.7,502,2,0.286,1,,,0,0,0,0
56,Ryan Miller,29,BUF,69,67,41,18,8,150,2098,1948,0.929,2.22,5,16.8,4047,48,0.716,6,81,36.16,0,0,0,4
57,Evgeni Nabokov,34,SJS,71,71,44,16,10,170,2168,1998,0.922,2.43,3,15.6,4194,45,0.634,11,88,22.37,0,0,0,6
58,Michal Neuvirth,21,WSH,17,16,9,4,0,40,464,424,0.914,2.75,0,2.9,872,10,0.625,4,97,1.17,0,0,0,0
59,Antti Niemi,26,CHI,39,35,26,7,4,82,936,854,0.912,2.25,7,5.7,2190,17,0.486,7,99,1.05,0,1,1,0
60,Antero Niittymaki,29,TBL,49,45,21,18,5,127,1388,1261,0.909,2.87,1,7.9,2657,21,0.467,11,103,-3.84,0,1,1,0
61,Chris Osgood,37,DET,23,21,7,9,4,63,561,498,0.888,3.02,1,1.8,1252,9,0.429,7,127,-13.22,0,1,1,0
62,Ondrej Pavelec,22,ATL,42,40,14,18,7,127,1353,1226,0.906,3.29,2,7.3,2317,17,0.425,6,106,-6.95,0,1,1,0
63,Alexander Pechurski,19,PIT,1,0,0,0,0,1,13,12,0.923,1.69,0,0.1,36,0,,0,,,0,0,0,0
64,Justin Peters,23,CAR,9,8,6,3,0,23,241,218,0.905,2.83,0,1.3,488,4,0.5,2,,,0,0,0,0
65,Carey Price,22,MTL,41,39,13,20,5,109,1244,1135,0.912,2.77,0,7.6,2358,21,0.538,4,99,1.38,0,1,1,8
66,Jonathan Quick,24,LAK,72,71,39,24,7,180,1927,1747,0.907,2.54,4,10.5,4258,34,0.479,13,105,-9.02,0,1,1,2
67,Tuukka Rask,22,BOS,45,39,22,12,5,84,1221,1137,0.931,1.97,5,10.2,2562,29,0.744,2,78,24.34,0,3,3,2
