,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,David Aebischer,28,MTL,32,,13,12,3,93,929,836,0.9,3.17,0,5.1,1760,,,,106,-4.97,0,0,0,2
2,Craig Anderson,25,FLA,5,,1,1,1,8,116,108,0.931,2.21,0,1,217,,,,,,0,0,0,0
3,Jean-Sebastien Aubin,29,TOR,20,,3,5,2,46,371,325,0.876,3.43,0,1.1,804,,,,131,-10.84,0,0,0,0
4,Alex Auld,26,FLA,27,,7,13,5,82,729,647,0.888,3.35,1,3,1471,,,,119,-12.92,0,1,1,2
5,Jason Bacashihua,24,STL,19,,3,7,3,47,450,403,0.896,3.16,0,2.3,894,,,,110,-4.36,0,0,0,2
6,Niklas Bäckström,28,MIN,41,,23,8,6,73,1028,955,0.929,1.97,5,9,2227,,,,75,24.41,0,1,1,2
7,Ed Belfour*,41,FLA,58,,27,17,10,152,1550,1398,0.902,2.77,1,8.9,3289,,,,103,-5.12,0,2,2,10
8,Martin Biron,29,TOT,35,,18,12,3,101,1042,941,0.903,3.03,0,6.1,2001,,,,102,-2.26,0,0,0,25
8,Martin Biron,29,BUF,19,,12,4,1,54,533,479,0.899,3.04,0,2.9,1066,,,,107,-3.49,0,0,0,25
8,Martin Biron,29,PHI,16,,6,8,2,47,509,462,0.908,3.01,0,3.2,935,,,,97,1.23,0,0,0,0
9,Brian Boucher,30,TOT,18,,2,11,3,54,456,402,0.882,3.34,1,1.6,969,,,,125,-10.79,0,0,0,0
9,Brian Boucher,30,CHI,15,,1,10,3,45,389,344,0.884,3.27,1,1.5,827,,,,122,-8.14,0,0,0,0
9,Brian Boucher,30,CBJ,3,,1,1,0,9,67,58,0.866,3.79,0,0.1,142,,,,,,0,0,0,0
10,Martin Brodeur*,34,NJD,78,,48,23,7,171,2182,2011,0.922,2.18,12,17.3,4697,,,,83,35.76,0,1,1,12
11,Barry Brust,23,LAK,11,,2,4,1,30,245,215,0.878,3.7,0,0.7,486,,,,,,0,0,0,0
12,Ilya Bryzgalov,26,ANA,27,,10,8,6,62,668,606,0.907,2.47,1,4.2,1509,,,,98,1.3,0,0,0,0
13,Peter Budaj,24,COL,57,,31,16,6,143,1499,1356,0.905,2.68,3,9.1,3199,,,,101,-0.96,0,2,2,0
14,Sean Burke,40,LAK,23,,6,10,5,68,687,619,0.901,3.12,1,3.9,1310,,,,104,-2.9,0,1,1,4
15,Sebastien Caron,26,TOT,2,,1,0,0,2,31,29,0.935,1.36,0,0.3,88,,,,,,0,0,0,0
15,Sebastien Caron,26,CHI,1,,1,0,0,1,25,24,0.96,1,0,0.3,60,,,,,,0,0,0,0
15,Sebastien Caron,26,ANA,1,,0,0,0,1,6,5,0.833,2.12,0,0,28,,,,,,0,0,0,0
16,Frederic Cassivi,31,WSH,4,,0,1,1,6,58,52,0.897,2.6,0,0.3,139,,,,,,0,0,0,0
17,Scott Clemmensen,29,NJD,6,,1,1,2,16,144,128,0.889,3.14,0,0.6,305,,,,,,0,0,0,0
18,Dan Cloutier,30,LAK,24,,6,14,2,85,608,523,0.86,3.98,0,0.7,1281,,,,148,-27.39,0,1,1,21
19,Ty Conklin,30,TOT,16,,3,5,2,40,330,290,0.879,3.34,0,1.1,718,,,,128,-8.73,0,0,0,2
19,Ty Conklin,30,CBJ,11,,2,3,2,27,210,183,0.871,3.3,0,0.5,491,,,,,,0,0,0,0
19,Ty Conklin,30,BUF,5,,1,2,0,13,120,107,0.892,3.43,0,0.6,227,,,,,,0,0,0,2
20,Marc Denis,29,TBL,44,,17,18,2,125,1068,943,0.883,3.19,1,3.9,2353,,,,124,-23.8,0,0,0,2
