,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,David Aebischer,22,COL,26,,12,7,3,52,538,486,0.903,2.24,3,3.3,1393,,,,100,0.04,0,1,1,0
2,Jean-Sebastien Aubin,23,PIT,36,,20,14,1,107,973,866,0.89,3.33,0,4.6,2050,,,,114,-12.87,0,1,1,4
3,Ed Belfour*,35,DAL,63,,35,20,7,144,1508,1364,0.905,2.34,8,9.5,3687,,,,99,1.88,0,1,1,4
4,Zac Bierk,24,MIN,1,,0,1,0,6,27,21,0.778,6,0,-0.2,60,,,,,,0,0,0,2
5,Craig Billington,34,WSH,12,,3,5,2,27,317,290,0.915,2.45,0,2.3,660,,,,,,0,1,1,0
6,Martin Biron,23,BUF,18,,7,7,1,39,427,388,0.909,2.55,2,2.9,918,,,,94,2.31,0,0,0,0
7,Brian Boucher,24,PHI,27,,8,12,5,80,644,564,0.876,3.27,1,2,1470,,,,128,-17.7,0,0,0,2
8,Fred Brathwaite,28,CGY,49,,15,17,10,106,1181,1075,0.91,2.32,5,8.1,2742,,,,93,8.25,0,1,1,2
9,Martin Brodeur*,28,NJD,72,,42,17,11,166,1762,1596,0.906,2.32,9,11.3,4297,,,,97,4.45,0,1,1,14
10,Sean Burke,34,PHX,62,,25,22,13,138,1767,1629,0.922,2.27,4,14.4,3644,,,,81,32.84,0,1,1,16
11,Roman Cechmanek,29,PHI,59,,35,15,6,115,1464,1349,0.921,2.01,10,11.9,3431,,,,81,26.62,0,1,1,4
12,Dan Cloutier,24,TOT,40,,7,19,8,96,889,793,0.892,3,1,4.4,1919,,,,112,-10,0,0,0,4
12,Dan Cloutier,24,TBL,24,,3,13,3,59,541,482,0.891,3.52,1,2.6,1005,,,,113,-6.66,0,0,0,4
12,Dan Cloutier,24,VAN,16,,4,6,5,37,348,311,0.894,2.43,0,1.8,914,,,,110,-3.34,0,0,0,0
13,Byron Dafoe,29,BOS,45,,22,14,7,101,1076,975,0.906,2.39,2,6.9,2536,,,,97,3.09,0,2,2,6
14,Marc Denis,23,CBJ,32,,6,20,4,99,940,841,0.895,3.25,0,4.9,1830,,,,109,-8.07,0,0,0,2
15,Rick DiPietro,19,NYI,20,,3,15,1,63,515,452,0.878,3.49,0,1.7,1083,,,,126,-13.18,0,2,2,6
16,Mike Dunham,28,NSH,48,,21,21,4,107,1381,1274,0.923,2.33,4,11.4,2810,,,,80,26.59,0,0,0,2
17,Robert Esche,23,PHX,25,,10,8,4,68,657,589,0.896,3.02,2,3.5,1350,,,,107,-4.44,0,3,3,2
18,Bob Essensa,36,VAN,39,,18,12,3,92,854,762,0.892,2.68,1,4.2,2059,,,,111,-9.39,0,0,0,4
19,Scott Fankhouser,25,ATL,7,,2,1,0,16,160,144,0.9,3.44,0,0.9,260,,,,,,0,0,0,2
20,Manny Fernandez,26,MIN,42,,19,17,4,92,1147,1055,0.92,2.24,4,9.1,2461,,,,83,18.96,0,0,0,6
21,Eric Fichaud,25,MTL,2,,0,2,0,4,32,28,0.875,3.89,0,0.1,62,,,,,,0,0,0,0
22,Stephane Fiset,30,LAK,7,,3,0,1,19,129,110,0.853,3.58,0,0.1,318,,,,,,0,0,0,2
23,Wade Flaherty,33,TOT,22,,6,12,0,64,525,461,0.878,3.38,1,1.8,1135,,,,126,-13.21,0,0,0,2
23,Wade Flaherty,33,NYI,20,,6,10,0,56,470,414,0.881,3.3,1,1.7,1017,,,,123,-10.53,0,0,0,2
23,Wade Flaherty,33,TBL,2,,0,2,0,8,55,47,0.855,4.07,0,0,118,,,,,,0,0,0,0
24,Mike Fountain,29,OTT,1,,0,1,0,3,25,22,0.88,3.07,0,0.1,59,,,,,,0,0,0,0
25,Joaquin Gage,27,EDM,5,,2,2,0,15,125,110,0.88,3.46,0,0.5,260,,,,,,0,0,0,0
26,Mathieu Garon,23,MTL,11,,4,5,1,24,233,209,0.897,2.44,2,1.3,589,,,,,,0,0,0,0
27,Jean-Sebastien Giguere,23,MDA,34,,11,17,5,87,976,889,0.911,2.57,4,6.8,2031,,,,92,7.42,0,2,2,8
28,John Grahame,25,BOS,10,,3,4,0,28,211,183,0.867,3.57,0,0.5,471,,,,,,0,0,0,2
29,Derek Gustafson,21,MIN,4,,1,3,0,10,97,87,0.897,2.51,0,0.5,239,,,,,,0,0,0,0
30,Jeff Hackett,32,MTL,19,,4,10,2,54,477,423,0.887,3.25,0,2.1,998,,,,117,-7.86,0,1,1,0
31,Dominik Hasek*,36,BUF,67,,37,24,4,137,1726,1589,0.921,2.11,11,13.9,3904,,,,82,29.97,0,3,3,22
32,Glenn Healy,38,TOR,15,,4,7,3,38,331,293,0.885,2.62,0,1.4,871,,,,119,-5.98,0,0,0,0
33,Guy Hebert,34,TOT,54,,17,30,5,157,1521,1364,0.897,3.19,2,8.3,2950,,,,107,-9.86,0,0,0,0
33,Guy Hebert,34,MDA,41,,12,23,4,115,1112,997,0.897,3.11,2,6,2215,,,,107,-7.43,0,0,0,0
33,Guy Hebert,34,NYR,13,,5,7,1,42,409,367,0.897,3.43,0,2.2,735,,,,106,-2.43,0,0,0,0
34,Johan Hedberg,27,PIT,9,,7,1,1,24,253,229,0.905,2.64,0,1.6,545,,,,,,0,0,0,0
35,Corey Hirsch,28,WSH,1,,1,0,0,0,8,8,1,0,0,0.1,20,,,,,,0,0,0,0
36,Milan Hnilicka,27,ATL,36,,12,19,2,105,951,846,0.89,3.41,2,4.4,1879,,,,114,-13,0,0,0,4
37,Johan Holmqvist,22,NYR,2,,0,2,0,10,71,61,0.859,5.05,0,0.1,119,,,,,,0,0,0,2
38,Jani Hurme,26,OTT,22,,12,5,4,54,563,509,0.904,2.5,2,3.5,1296,,,,99,0.46,0,0,0,0
39,Arturs Irbe,33,CAR,77,,37,29,9,180,1947,1767,0.908,2.45,6,12.9,4406,,,,96,8.35,0,2,2,6
40,Brent Johnson,23,STL,31,,19,9,2,63,676,613,0.907,2.17,4,4.4,1744,,,,96,2.39,0,0,0,2
41,Curtis Joseph,33,TOR,68,,33,27,8,163,1907,1744,0.915,2.39,6,14,4100,,,,88,21.48,0,1,1,8
42,Nikolai Khabibulin,28,TBL,2,,1,1,0,6,69,63,0.913,2.92,0,0.5,123,,,,,,0,0,0,0
43,Trevor Kidd,28,FLA,42,,10,23,6,130,1217,1087,0.893,3.31,1,6.1,2354,,,,110,-12.27,0,1,1,6
44,Miikka Kiprusoff,24,SJS,5,,2,1,0,5,51,46,0.902,1.94,0,0.3,154,,,,,,0,0,0,0
45,Dieter Kochan,26,TBL,10,,0,3,0,18,138,120,0.87,3.44,0,0.3,314,,,,,,0,0,0,0
46,Olaf Kölzig,30,WSH,72,,37,26,8,177,1941,1764,0.909,2.48,5,13.1,4279,,,,94,10.77,0,2,2,14
47,Evgeny Konstantinov,19,TBL,1,,0,0,0,0,0,0,,0,0,0,1,,,,,,0,0,0,0
48,Jason LaBarbera,21,NYR,1,,0,0,0,0,2,2,1,0,0,0,10,,,,,,0,0,0,0
49,Patrick Lalime,26,OTT,60,,36,19,5,141,1640,1499,0.914,2.35,7,12,3607,,,,89,17.65,0,1,1,2
50,Michel Larocque,24,CHI,3,,0,2,0,9,59,50,0.847,3.55,0,0,152,,,,,,0,0,0,0
51,Manny Legace,27,DET,39,,24,5,5,73,909,836,0.92,2.05,2,7.2,2136,,,,83,14.93,0,2,2,4
52,Roberto Luongo,21,FLA,47,,12,24,7,107,1333,1226,0.92,2.44,5,10.6,2628,,,,83,21.95,0,0,0,2
53,Norm Maracle,26,ATL,13,,2,8,3,43,406,363,0.894,3.43,0,2.1,753,,,,109,-3.72,0,0,0,0
