,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
54,Chris Mason,24,NSH,1,,0,1,0,2,20,18,0.9,2.05,0,0.1,59,,,,,,0,0,0,0
55,Kirk McLean,34,NYR,23,,8,10,1,71,639,568,0.889,3.49,0,2.9,1220,,,,115,-9.18,0,0,0,0
56,Jamie McLennan,29,MIN,38,,5,23,9,98,1032,934,0.905,2.64,2,6.5,2230,,,,98,1.83,0,1,1,4
57,Tyler Moss,25,CAR,12,,1,6,0,37,251,214,0.853,3.99,0,0.2,557,,,,,,0,0,0,0
58,Evgeni Nabokov,25,SJS,66,,32,21,7,135,1582,1447,0.915,2.19,6,11.7,3700,,,,88,18.04,0,2,2,8
59,Gregg Naumenko,23,MDA,2,,0,1,0,7,29,22,0.759,5.99,0,-0.3,70,,,,,,0,0,0,2
60,Mika Noronen,21,BUF,2,,2,0,0,5,39,34,0.872,2.77,0,0.1,108,,,,,,0,0,0,0
61,Chris Osgood,28,DET,52,,25,19,4,127,1310,1183,0.903,2.69,1,8,2834,,,,100,-0.27,0,0,0,8
62,Maxime Ouellet,19,PHI,2,,0,1,0,3,27,24,0.889,2.38,0,0.1,76,,,,,,0,0,0,0
63,Rich Parent,28,PIT,7,,1,1,3,17,150,133,0.887,3.08,0,0.6,332,,,,,,0,0,0,0
64,Steve Passmore,28,TOT,20,,3,12,2,51,457,406,0.888,2.89,1,2.1,1058,,,,115,-6.79,0,0,0,4
64,Steve Passmore,28,LAK,14,,3,8,1,37,310,273,0.881,3.09,1,1.1,718,,,,,,0,0,0,0
64,Steve Passmore,28,CHI,6,,0,4,1,14,147,133,0.905,2.47,0,0.9,340,,,,,,0,0,0,4
65,Felix Potvin,29,TOT,58,,27,22,8,149,1485,1336,0.9,2.62,6,8.5,3416,,,,104,-5.34,0,5,5,4
65,Felix Potvin,29,VAN,35,,14,17,3,103,914,811,0.887,3.08,1,4,2006,,,,116,-14.58,0,2,2,2
65,Felix Potvin,29,LAK,23,,13,5,5,46,571,525,0.919,1.96,5,4.5,1410,,,,83,9.24,0,3,3,2
66,Andrew Raycroft,20,BOS,15,,4,6,0,32,291,259,0.89,2.96,0,1.4,649,,,,,,0,0,0,0
67,Damian Rhodes,31,ATL,38,,7,19,7,116,1129,1013,0.897,3.4,0,6.2,2072,,,,106,-6.78,0,0,0,16
68,Mike Richter,34,NYR,45,,20,21,3,144,1343,1199,0.893,3.28,0,6.7,2635,,,,111,-14.08,0,0,0,0
69,Dominic Roussel,30,TOT,21,,3,9,2,52,446,394,0.883,3.12,0,1.8,1001,,,,121,-8.86,0,0,0,2
69,Dominic Roussel,30,MDA,13,,2,5,2,31,295,264,0.895,2.85,0,1.5,653,,,,,,0,0,0,0
69,Dominic Roussel,30,EDM,8,,1,4,0,21,151,130,0.861,3.62,0,0.2,348,,,,,,0,0,0,2
70,Patrick Roy*,35,COL,62,,40,13,7,132,1513,1381,0.913,2.22,4,10.8,3585,,,,90,14.36,0,5,5,10
71,Tommy Salo,29,EDM,73,,36,25,12,179,1856,1677,0.904,2.46,8,11.5,4364,,,,100,0.55,0,1,1,4
72,Travis Scott,25,LAK,1,,0,0,0,3,10,7,0.7,7.28,0,-0.2,25,,,,,,0,0,0,0
73,Steve Shields,28,SJS,21,,6,8,5,47,531,484,0.911,2.48,2,3.7,1135,,,,91,4.37,0,0,0,2
74,Peter Skudra,27,TOT,26,,6,12,1,62,511,449,0.879,3.33,0,1.8,1117,,,,125,-12.57,0,0,0,0
74,Peter Skudra,27,BOS,25,,6,12,1,62,511,449,0.879,3.33,0,1.8,1116,,,,125,-12.57,0,0,0,0
74,Peter Skudra,27,BUF,1,,0,0,0,0,0,0,,0,0,0,1,,,,,,0,0,0,0
75,Garth Snow,31,PIT,35,,14,15,4,101,1014,913,0.9,2.98,3,5.9,2032,,,,103,-2.91,0,0,0,8
76,Jamie Storr,25,LAK,45,,19,18,6,114,1131,1017,0.899,2.74,4,6.4,2498,,,,104,-4.59,0,0,0,4
77,Robbie Tallas,27,CHI,12,,2,7,0,35,265,230,0.868,3.35,0,0.6,627,,,,,,0,0,0,0
78,Chris Terreri,36,TOT,18,,4,9,2,39,372,333,0.895,2.67,0,2,896,,,,108,-3.01,0,0,0,2
78,Chris Terreri,36,NJD,10,,2,5,1,21,167,146,0.874,2.78,0,0.5,453,,,,,,0,0,0,0
78,Chris Terreri,36,NYI,8,,2,4,1,18,205,187,0.912,2.56,0,1.5,443,,,,,,0,0,0,2
79,Jose Theodore,24,MTL,59,,20,29,5,141,1546,1405,0.909,2.57,2,10.4,3298,,,,94,8.56,1,0,1,6
80,Jocelyn Thibault,26,CHI,66,,27,32,7,180,1711,1531,0.895,2.81,6,8.9,3844,,,,109,-14.48,0,3,3,2
81,Ron Tugnutt,33,CBJ,53,,22,25,5,127,1528,1401,0.917,2.44,4,11.6,3129,,,,86,20.82,0,1,1,2
82,Marty Turco,25,DAL,26,,13,6,1,40,532,492,0.925,1.9,3,4.5,1266,,,,78,11.46,0,0,0,12
83,Roman Turek,30,STL,54,,24,18,10,123,1248,1125,0.901,2.27,6,7.4,3232,,,,102,-2.27,0,1,1,6
84,John Vanbiesbrouck,37,TOT,48,,14,25,5,126,1270,1144,0.901,2.9,2,7.5,2630,,,,103,-3.14,0,0,0,8
84,John Vanbiesbrouck,37,NYI,44,,10,25,5,120,1177,1057,0.898,3.04,1,6.6,2390,,,,105,-6.14,0,0,0,8
84,John Vanbiesbrouck,37,NJD,4,,4,0,0,6,93,87,0.935,1.5,1,0.9,240,,,,,,0,0,0,0
85,Mike Vernon,37,CGY,41,,12,23,5,121,1034,913,0.883,3.23,3,4.1,2246,,,,121,-20.97,0,1,1,16
86,Tomas Vokoun,24,NSH,37,,13,17,5,85,940,855,0.91,2.51,2,6.4,2088,,,,93,5.93,0,0,0,2
87,Kevin Weekes,25,TBL,61,,20,33,3,177,1742,1565,0.898,3.15,4,9.8,3378,,,,105,-8.48,0,1,1,4
88,Kay Whitmore,33,BOS,5,,1,2,0,18,94,76,0.809,5.33,0,-0.4,203,,,,,,0,0,0,0
89,Vitali Yeremeyev,25,NYR,4,,0,4,0,16,104,88,0.846,4.52,0,0,212,,,,,,0,0,0,0
