,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
39,Kevin Hodson,30,TBL,7,,0,3,1,12,101,89,0.881,2.55,0,0.3,283,,,,,,0,0,0,2
40,Johan Holmqvist,24,NYR,1,,0,1,0,2,18,16,0.889,3.08,0,0.1,39,,,,,,0,0,0,0
41,Cristobal Huet,27,LAK,12,,4,4,1,21,241,220,0.913,2.37,1,1.6,541,,,,,,0,0,0,0
42,Jani Hurme,28,FLA,28,,4,11,6,66,707,641,0.907,2.88,1,4.1,1376,,,,102,-1.55,0,0,0,2
43,Arturs Irbe,35,CAR,34,,7,24,2,100,816,716,0.877,3.18,0,2,1884,,,,134,-25.61,0,0,0,4
44,Brent Johnson,25,STL,38,,16,13,5,84,844,760,0.9,2.47,2,4.3,2042,,,,109,-7.06,0,1,1,2
45,Curtis Joseph,35,DET,61,,34,19,6,148,1676,1528,0.912,2.45,5,10.7,3566,,,,97,4.79,0,0,0,4
46,Nikolai Khabibulin,30,TBL,65,,30,22,11,156,1760,1604,0.911,2.47,4,11.2,3787,,,,97,4.45,0,3,3,8
47,Trevor Kidd,30,TOR,19,,6,10,2,59,565,506,0.896,3.1,0,2.6,1143,,,,115,-7.49,0,0,0,0
48,Miikka Kiprusoff,26,SJS,22,,5,14,0,65,537,472,0.879,3.25,1,1.4,1199,,,,133,-16.05,0,0,0,0
49,Dieter Kochan,28,MIN,1,,0,1,0,5,28,23,0.821,5,0,-0.1,60,,,,,,0,0,0,0
50,Olaf Kölzig,32,WSH,66,,33,25,6,156,1925,1769,0.919,2.37,4,13.9,3894,,,,89,19.49,0,0,0,0
51,Evgeny Konstantinov,21,TBL,1,,0,0,0,1,6,5,0.833,3,0,0,20,,,,,,0,0,0,2
52,Jean-Francois Labbe,30,CBJ,11,,2,4,0,27,233,206,0.884,3.59,0,0.8,451,,,,,,0,0,0,2
53,Patrick Lalime,28,OTT,67,,39,20,7,142,1591,1449,0.911,2.16,8,10,3943,,,,98,3.04,0,1,1,6
54,Jan Lasak,23,NSH,3,,0,1,0,5,39,34,0.872,3.32,0,0.1,90,,,,,,0,0,0,0
55,Manny Legace,29,DET,25,,14,5,4,51,681,630,0.925,2.08,0,5.4,1406,,,,82,11.08,0,1,1,2
56,Michael Leighton,21,CHI,8,,2,3,2,21,241,220,0.913,2.82,1,1.6,447,,,,,,0,0,0,0
57,Roberto Luongo,23,FLA,65,,20,34,7,164,2011,1847,0.918,2.66,6,14.4,3627,,,,89,19.33,0,0,0,4
58,Jussi Markkanen,27,EDM,22,,7,8,3,51,533,482,0.904,2.59,3,3,1180,,,,105,-2.41,0,1,1,2
59,Jamie McLennan,31,CGY,22,,2,11,4,58,537,479,0.892,2.99,0,2.2,1165,,,,118,-9.05,0,0,0,14
60,Ryan Miller,22,BUF,15,,6,8,1,40,410,370,0.902,2.63,1,2.2,912,,,,107,-2.62,0,0,0,0
61,Tyler Moss,27,VAN,1,,0,0,0,1,14,13,0.929,2.67,0,0.1,22,,,,,,0,0,0,0
62,Evgeni Nabokov,27,SJS,55,,19,28,8,146,1561,1415,0.906,2.71,3,9.1,3227,,,,103,-3.7,0,0,0,10
63,Mika Noronen,23,BUF,16,,4,9,3,36,411,375,0.912,2.42,1,2.7,891,,,,96,1.47,0,0,0,0
64,Pasi Nurminen,27,ATL,52,,21,19,5,137,1452,1315,0.906,2.9,2,8.3,2856,,,,103,-4.63,0,3,3,4
65,Chris Osgood,30,TOT,46,,21,17,6,124,1153,1029,0.892,2.95,4,4.9,2525,,,,118,-18.89,0,0,0,12
65,Chris Osgood,30,NYI,37,,17,14,4,97,912,815,0.894,2.92,2,4,1993,,,,117,-13.86,0,0,0,12
65,Chris Osgood,30,STL,9,,4,3,2,27,241,214,0.888,3.05,2,0.9,532,,,,,,0,0,0,0
66,Steve Passmore,30,CHI,11,,2,5,2,38,284,246,0.866,3.7,0,0.3,617,,,,,,0,0,0,4
67,Jean-Marc Pelletier,24,PHX,2,,0,2,0,6,48,42,0.875,3.04,0,0.1,119,,,,,,0,0,0,0
68,Felix Potvin,31,LAK,42,,17,20,3,105,987,882,0.894,2.66,3,4.3,2367,,,,117,-15.02,0,0,0,4
69,Martin Prusek,27,OTT,18,,12,2,1,37,415,378,0.911,2.38,0,2.6,935,,,,98,0.83,0,0,0,0
70,Andrew Raycroft,22,BOS,5,,2,3,0,12,146,134,0.918,2.4,0,1,300,,,,,,0,0,0,0
71,Mike Richter,36,NYR,13,,5,6,1,34,329,295,0.897,2.94,0,1.5,694,,,,113,-4.01,0,0,0,0
72,Dwayne Roloson,33,MIN,50,,23,16,8,98,1334,1236,0.927,2,4,10.8,2945,,,,81,23.61,0,1,1,4
73,Patrick Roy*,37,COL,63,,35,15,13,137,1723,1586,0.92,2.18,5,12.8,3769,,,,87,20.07,0,0,0,20
74,Cody Rudkowsky,24,STL,1,,1,0,0,0,10,10,1,0,0,0.2,30,,,,,,0,0,0,0
75,Tommy Salo,31,EDM,65,,29,27,8,172,1708,1536,0.899,2.71,4,8.5,3814,,,,110,-16.29,0,0,0,4
76,Curtis Sanford,23,STL,8,,5,1,0,13,148,135,0.912,1.96,1,1,397,,,,,,0,0,0,0
77,Corey Schwab,32,NJD,11,,5,3,1,15,223,208,0.933,1.47,1,2,614,,,,,,0,0,0,0
78,Steve Shields,30,BOS,36,,12,13,9,97,930,833,0.896,2.76,0,4.3,2112,,,,114,-12.22,0,0,0,8
79,Peter Skudra,29,VAN,23,,9,5,6,54,522,468,0.897,2.72,1,2.4,1192,,,,113,-6.41,0,1,1,0
80,Garth Snow,33,NYI,43,,16,17,5,92,1120,1028,0.918,2.31,1,8,2390,,,,90,10.1,0,0,0,24
81,Jamie Storr,27,LAK,39,,12,19,2,86,904,818,0.905,2.55,3,5.1,2027,,,,104,-3.59,0,1,1,8
82,Mikael Tellqvist,23,TOR,3,,1,1,0,4,38,34,0.895,2.79,0,0.2,86,,,,,,0,0,0,0
83,Jose Theodore,26,MTL,57,,20,31,6,165,1797,1632,0.908,2.9,2,10.8,3419,,,,101,-1.18,0,2,2,6
84,Jocelyn Thibault,28,CHI,62,,26,28,7,144,1690,1546,0.915,2.33,8,11.4,3650,,,,93,10.06,0,0,0,4
85,Tim Thomas,28,BOS,4,,3,1,0,11,118,107,0.907,3.01,0,0.7,220,,,,,,0,0,0,0
86,Vesa Toskala,25,SJS,11,,4,3,1,21,287,266,0.927,2.35,1,2.3,537,,,,,,0,0,0,0
87,Ron Tugnutt,35,DAL,31,,15,10,5,70,672,602,0.896,2.47,4,3.1,1701,,,,114,-8.74,0,0,0,0
88,Marty Turco,27,DAL,55,,31,10,10,92,1359,1267,0.932,1.73,7,11.9,3203,,,,74,31.89,0,3,3,16
89,Roman Turek,32,CGY,65,,27,29,9,164,1679,1515,0.902,2.54,4,9,3822,,,,107,-10.94,0,4,4,14
90,Tomas Vokoun,26,NSH,69,,25,31,11,146,1771,1625,0.918,2.21,3,12.5,3974,,,,90,15.45,0,1,1,28
91,Kevin Weekes,27,CAR,51,,14,24,9,126,1438,1312,0.912,2.5,5,9.3,2965,,,,96,5.09,0,0,0,2
