,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,David Aebischer,24,COL,22,,7,12,0,50,593,543,0.916,2.43,1,4.1,1235,,,,92,4.06,0,0,0,4
2,Craig Anderson,21,CHI,6,,0,3,2,18,125,107,0.856,4,0,0,270,,,,,,0,0,0,0
3,Jean-Sebastien Aubin,25,PIT,21,,6,13,0,59,589,530,0.9,3.13,1,3,1132,,,,110,-5.31,0,1,1,2
4,Alex Auld,22,VAN,7,,3,3,0,10,165,155,0.939,1.57,1,1.6,382,,,,,,0,0,0,0
5,Tom Barrasso,37,STL,6,,1,4,0,16,132,116,0.879,3.27,1,0.3,293,,,,,,0,0,0,0
6,Ed Belfour*,37,TOR,62,,37,20,5,141,1816,1675,0.922,2.26,7,13.9,3738,,,,85,24.55,0,2,2,24
7,Zac Bierk,26,PHX,16,,4,9,1,32,471,439,0.932,2.17,1,4.1,884,,,,75,10.94,0,0,0,2
8,Craig Billington,36,WSH,5,,1,3,1,17,96,79,0.823,4.7,0,-0.4,217,,,,,,0,0,0,0
9,Martin Biron,25,BUF,54,,17,28,6,135,1468,1333,0.908,2.56,4,8.8,3170,,,,101,-1.17,0,1,1,12
10,Dan Blackburn,19,NYR,32,,8,16,4,93,842,749,0.89,3.17,1,3.3,1762,,,,121,-16.24,0,0,0,2
11,Brian Boucher,26,PHX,45,,15,20,8,128,1210,1082,0.894,3.02,0,5.3,2544,,,,116,-17.69,0,1,1,0
12,Fred Brathwaite,30,STL,30,,12,9,4,74,631,557,0.883,2.75,2,2,1615,,,,129,-16.48,0,0,0,0
13,Martin Brodeur*,30,NJD,73,,41,23,9,147,1706,1559,0.914,2.02,9,11.4,4374,,,,95,8.52,0,0,0,10
14,Sean Burke,36,PHX,22,,12,6,2,44,632,588,0.93,2.11,2,5.4,1248,,,,76,13.61,0,0,0,4
15,Sebastien Caron,22,PIT,24,,7,14,2,62,741,679,0.916,2.64,2,5.1,1408,,,,92,5.55,0,0,0,6
16,Frederic Cassivi,27,ATL,2,,1,1,0,11,58,47,0.81,5.36,0,-0.3,123,,,,,,0,0,0,0
17,Roman Cechmanek,31,PHI,58,,33,15,10,102,1368,1266,0.925,1.83,6,10.9,3350,,,,82,22.71,0,0,0,8
18,Sebastien Charpentier,25,WSH,17,,5,7,1,40,426,386,0.906,2.79,0,2.5,859,,,,103,-1.16,0,0,0,0
19,Dan Cloutier,26,VAN,57,,33,16,7,136,1477,1341,0.908,2.42,2,8.8,3376,,,,101,-1.35,0,3,3,24
20,Byron Dafoe,31,ATL,17,,5,11,1,65,472,407,0.862,4.36,0,0.4,895,,,,151,-21.97,0,0,0,0
21,Marc Denis,25,CBJ,77,,27,41,8,232,2404,2172,0.903,3.09,5,13.2,4511,,,,106,-12.85,0,0,0,6
22,Patrick DesRochers,23,TOT,6,,1,4,0,18,159,141,0.887,3.62,0,0.6,297,,,,,,0,0,0,0
22,Patrick DesRochers,23,PHX,4,,0,3,0,11,88,77,0.875,3.77,0,0.2,175,,,,,,0,0,0,0
22,Patrick DesRochers,23,CAR,2,,1,1,0,7,71,64,0.901,3.41,0,0.4,122,,,,,,0,0,0,0
23,Rick DiPietro,21,NYI,10,,2,5,2,29,273,244,0.894,2.97,0,1.2,585,,,,,,0,0,0,2
24,Reinhard Divis,27,STL,2,,2,0,0,1,34,33,0.971,0.73,0,0.4,83,,,,,,0,0,0,0
25,Mike Dunham,30,TOT,58,,21,26,7,137,1626,1489,0.916,2.5,5,11.2,3286,,,,92,11.23,0,1,1,0
25,Mike Dunham,30,NYR,43,,19,17,5,94,1229,1135,0.924,2.29,5,9.5,2467,,,,84,18.04,0,1,1,0
25,Mike Dunham,30,NSH,15,,2,9,2,43,397,354,0.892,3.15,0,1.6,819,,,,119,-6.81,0,0,0,0
26,Ray Emery,20,OTT,3,,1,0,0,2,26,24,0.923,1.42,0,0.2,85,,,,,,0,0,0,0
27,Robert Esche,25,PHI,30,,12,9,3,60,647,587,0.907,2.2,2,3.8,1638,,,,102,-1.02,0,0,0,6
28,Manny Fernandez,28,MIN,35,,19,13,2,74,972,898,0.924,2.24,2,7.6,1979,,,,84,14.61,0,1,1,6
29,Brian Finley,21,NSH,1,,0,0,0,3,13,10,0.769,3.86,0,-0.1,47,,,,,,0,0,0,0
30,Wade Flaherty,35,NSH,1,,0,1,0,4,27,23,0.852,4.7,0,0,51,,,,,,0,1,1,0
31,Mathieu Garon,25,MTL,8,,3,5,0,16,267,251,0.94,1.99,2,2.6,482,,,,,,0,0,0,0
32,Martin Gerber,28,MDA,22,,6,11,3,39,548,509,0.929,1.94,1,4.6,1203,,,,78,10.96,0,1,1,0
33,Jean-Sebastien Giguere,25,MDA,65,,34,22,6,145,1820,1675,0.92,2.3,8,13.5,3775,,,,87,20.92,0,0,0,8
34,John Grahame,27,TOT,40,,17,14,6,95,1049,954,0.909,2.45,3,6.5,2266,,,,99,0.63,0,2,2,11
34,John Grahame,27,BOS,23,,11,9,2,61,625,564,0.902,2.71,1,3.3,1352,,,,107,-4.02,0,2,2,2
34,John Grahame,27,TBL,17,,6,5,4,34,424,390,0.92,2.09,2,3.1,914,,,,88,4.65,0,0,0,9
35,Jeff Hackett,34,TOT,36,,15,17,2,98,1106,1008,0.911,2.78,1,7.1,2054,,,,97,2.83,0,0,0,2
35,Jeff Hackett,34,MTL,18,,7,8,2,45,606,561,0.926,2.54,0,4.9,1063,,,,81,10.24,0,0,0,0
35,Jeff Hackett,34,BOS,18,,8,9,0,53,500,447,0.894,3.03,1,2.2,991,,,,116,-7.42,0,0,0,2
36,Johan Hedberg,29,PIT,41,,14,22,4,126,1197,1071,0.895,3.06,1,5.4,2410,,,,115,-16.88,0,2,2,18
37,Corey Hirsch,30,DAL,2,,0,1,0,4,39,35,0.897,2.46,0,0.2,97,,,,,,0,0,0,0
38,Milan Hnilicka,29,ATL,21,,4,13,1,65,605,540,0.893,3.56,0,2.6,1097,,,,118,-9.85,0,0,0,2
