,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,David Aebischer,23,COL,21,,13,6,0,37,538,501,0.931,1.88,2,4.8,1184,,,,75,12.63,0,0,0,4
2,Jean-Sebastien Aubin,24,PIT,21,,3,12,1,65,537,472,0.879,3.56,0,1.5,1094,,,,131,-15.46,0,0,0,0
3,Alex Auld,21,VAN,1,,1,0,0,2,22,20,0.909,2,0,0.1,60,,,,,,0,1,1,0
4,Tom Barrasso,36,TOT,38,,15,14,5,93,996,903,0.907,2.62,2,6,2127,,,,101,-1.12,0,0,0,4
4,Tom Barrasso,36,CAR,34,,13,12,5,83,886,803,0.906,2.61,2,5.3,1908,,,,102,-1.27,0,0,0,4
4,Tom Barrasso,36,TOR,4,,2,2,0,10,110,100,0.909,2.74,0,0.7,219,,,,,,0,0,0,0
5,Ed Belfour*,36,DAL,60,,21,27,11,153,1458,1305,0.895,2.65,1,6.9,3467,,,,114,-18.5,0,5,5,12
6,Craig Billington,35,WSH,17,,4,5,3,36,295,259,0.878,3.04,0,0.8,710,,,,,,0,0,0,0
7,Martin Biron,24,BUF,72,,31,28,10,151,1781,1630,0.915,2.22,4,12.5,4085,,,,92,13.3,0,1,1,8
8,Dan Blackburn,18,NYR,31,,12,16,0,95,935,840,0.898,3.32,0,4.8,1737,,,,110,-8.75,0,0,0,10
9,Brian Boucher,25,PHI,41,,18,16,4,92,972,880,0.905,2.41,2,5.7,2295,,,,103,-2.33,0,0,0,4
10,Fred Brathwaite,29,STL,25,,9,11,4,54,543,489,0.901,2.24,2,2.9,1446,,,,108,-3.91,0,0,0,0
11,Martin Brochu,28,VAN,6,,0,3,0,15,104,89,0.856,4.16,0,0,216,,,,,,0,0,0,0
12,Martin Brodeur*,29,NJD,73,,38,26,9,156,1655,1499,0.906,2.15,4,9.8,4347,,,,102,-3.33,0,4,4,8
13,Ilya Bryzgalov,21,MDA,1,,0,0,0,1,12,11,0.917,1.87,0,0.1,32,,,,,,0,0,0,0
14,Sean Burke,35,PHX,60,,33,21,6,137,1711,1574,0.92,2.29,5,12.9,3587,,,,87,20.84,0,1,1,14
15,Frederic Cassivi,26,ATL,6,,2,3,0,17,207,190,0.918,3.32,0,1.5,307,,,,,,0,0,0,0
16,Roman Cechmanek,30,PHI,46,,24,13,6,89,1131,1042,0.921,2.05,4,8.7,2603,,,,85,15.33,0,0,0,10
17,Sebastien Centomo,20,TOR,1,,0,0,0,3,12,9,0.75,4.5,0,-0.1,40,,,,,,0,0,0,0
18,Sebastien Charpentier,24,WSH,2,,1,1,0,5,78,73,0.936,2.46,0,0.7,122,,,,,,0,0,0,0
19,Scott Clemmensen,24,NJD,2,,0,0,0,1,5,4,0.8,2.95,0,0,20,,,,,,0,0,0,0
20,Dan Cloutier,25,VAN,62,,31,22,5,142,1440,1298,0.901,2.43,7,7.8,3502,,,,107,-9.16,0,0,0,20
21,Ty Conklin,25,EDM,4,,2,0,0,4,66,62,0.939,1.63,0,0.6,148,,,,,,0,0,0,0
22,Byron Dafoe,30,BOS,64,,35,26,3,141,1520,1379,0.907,2.21,4,9.3,3827,,,,101,-0.78,0,1,1,27
23,Jean-Francois Damphousse,22,NJD,6,,1,3,0,12,115,103,0.896,2.45,0,0.5,294,,,,,,0,0,0,0
24,Marc Denis,24,CBJ,42,,9,24,5,121,1197,1076,0.899,3.11,1,6.2,2335,,,,110,-10.58,0,1,1,2
25,Patrick DesRochers,22,PHX,5,,1,2,1,15,99,84,0.848,3.71,0,-0.1,243,,,,,,0,0,0,2
26,Reinhard Divis,26,STL,1,,0,0,0,0,4,4,1,0,0,0.1,25,,,,,,0,0,0,0
27,Mike Dunham,29,NSH,58,,23,24,9,144,1525,1381,0.906,2.62,3,9,3316,,,,102,-3.32,0,2,2,2
28,Robert Esche,24,PHX,22,,6,10,2,52,533,481,0.902,2.73,1,3,1145,,,,106,-2.83,0,0,0,16
29,Bob Essensa,37,BUF,9,,0,5,0,17,113,96,0.85,2.91,0,-0.1,350,,,,,,0,0,0,0
30,Manny Fernandez,27,MIN,44,,12,24,5,125,1157,1032,0.892,3.05,1,5,2463,,,,117,-18.27,0,0,0,4
31,Stephane Fiset,31,MTL,2,,0,1,0,7,60,53,0.883,3.85,0,0.2,109,,,,,,0,0,0,0
32,Wade Flaherty,34,FLA,4,,2,1,1,12,148,136,0.919,2.94,0,1.1,245,,,,,,0,0,0,0
33,Mathieu Garon,24,MTL,5,,1,4,0,19,147,128,0.871,4.37,0,0.3,261,,,,,,0,0,0,0
34,Jean-Sebastien Giguere,24,MDA,53,,20,25,6,111,1384,1273,0.92,2.13,4,10.4,3127,,,,87,16.67,0,0,0,28
35,John Grahame,26,BOS,19,,8,7,2,52,503,451,0.897,2.95,1,2.5,1079,,,,112,-5.6,0,1,1,6
