Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/13/2011,Phoenix Coyotes,2,Detroit Red Wings,4,,20066,,
4/13/2011,Nashville Predators,4,Anaheim Ducks,1,,17174,,
4/13/2011,New York Rangers,1,Washington Capitals,2,OT,18398,,
4/13/2011,Tampa Bay Lightning,0,Pittsburgh Penguins,3,,18390,,
4/13/2011,Chicago Blackhawks,0,Vancouver Canucks,2,,18860,,
4/14/2011,Montreal Canadiens,2,Boston Bruins,0,,17565,,
4/14/2011,Buffalo Sabres,1,Philadelphia Flyers,0,,19929,,
4/14/2011,Los Angeles Kings,2,San Jose Sharks,3,OT,17562,,
4/15/2011,Nashville Predators,3,Anaheim Ducks,5,,17174,,
4/15/2011,Tampa Bay Lightning,5,Pittsburgh Penguins,1,,18507,,
4/15/2011,Chicago Blackhawks,3,Vancouver Canucks,4,,18860,,
4/15/2011,New York Rangers,0,Washington Capitals,2,,18398,,
4/16/2011,Phoenix Coyotes,3,Detroit Red Wings,4,,20066,,
4/16/2011,Los Angeles Kings,4,San Jose Sharks,0,,17562,,
4/16/2011,Buffalo Sabres,4,Philadelphia Flyers,5,,19942,,
4/16/2011,Montreal Canadiens,3,Boston Bruins,1,,17565,,
4/17/2011,Vancouver Canucks,3,Chicago Blackhawks,2,,21743,,
4/17/2011,Anaheim Ducks,3,Nashville Predators,4,,17113,,
4/17/2011,Washington Capitals,2,New York Rangers,3,,18200,,
4/18/2011,Philadelphia Flyers,4,Buffalo Sabres,2,,18690,,
4/18/2011,Boston Bruins,4,Montreal Canadiens,2,,21273,,
4/18/2011,Detroit Red Wings,4,Phoenix Coyotes,2,,17130,,
4/18/2011,Pittsburgh Penguins,3,Tampa Bay Lightning,2,,20545,,
4/19/2011,Vancouver Canucks,2,Chicago Blackhawks,7,,21757,,
4/19/2011,San Jose Sharks,6,Los Angeles Kings,5,OT,18216,,
4/20/2011,Philadelphia Flyers,0,Buffalo Sabres,1,,18690,,
4/20/2011,Anaheim Ducks,6,Nashville Predators,3,,17113,,
4/20/2011,Washington Capitals,4,New York Rangers,3,2OT,18200,,
4/20/2011,Detroit Red Wings,6,Phoenix Coyotes,3,,17314,,
4/20/2011,Pittsburgh Penguins,3,Tampa Bay Lightning,2,2OT,20326,,
4/21/2011,San Jose Sharks,6,Los Angeles Kings,3,,18234,,
