Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/16/2014,Columbus Blue Jackets,3,Pittsburgh Penguins,4,,18646,,
4/16/2014,Dallas Stars,3,Anaheim Ducks,4,,17294,,
4/16/2014,Montreal Canadiens,5,Tampa Bay Lightning,4,OT,19204,,
4/17/2014,Minnesota Wild,4,Colorado Avalanche,5,OT,18074,,
4/17/2014,Philadelphia Flyers,1,New York Rangers,4,,18006,,
4/17/2014,Los Angeles Kings,3,San Jose Sharks,6,,17562,,
4/17/2014,Chicago Blackhawks,3,St. Louis Blues,4,3OT,19423,,
4/18/2014,Dallas Stars,2,Anaheim Ducks,3,,17426,,
4/18/2014,Detroit Red Wings,1,Boston Bruins,0,,17565,,
4/18/2014,Montreal Canadiens,4,Tampa Bay Lightning,1,,19204,,
4/19/2014,Chicago Blackhawks,3,St. Louis Blues,4,OT,19639,,
4/19/2014,Columbus Blue Jackets,4,Pittsburgh Penguins,3,2OT,18619,,
4/19/2014,Minnesota Wild,2,Colorado Avalanche,4,,18402,,
4/20/2014,Detroit Red Wings,1,Boston Bruins,4,,17565,,
4/20/2014,Tampa Bay Lightning,2,Montreal Canadiens,3,,21273,,
4/20/2014,Philadelphia Flyers,4,New York Rangers,2,,18006,,
4/20/2014,Los Angeles Kings,2,San Jose Sharks,7,,17562,,
4/21/2014,Pittsburgh Penguins,4,Columbus Blue Jackets,3,,19148,,
4/21/2014,St. Louis Blues,0,Chicago Blackhawks,2,,22112,,
4/21/2014,Anaheim Ducks,0,Dallas Stars,3,,19120,,
4/21/2014,Colorado Avalanche,0,Minnesota Wild,1,OT,19221,,
4/22/2014,New York Rangers,4,Philadelphia Flyers,1,,20096,,
4/22/2014,Tampa Bay Lightning,3,Montreal Canadiens,4,,21273,,
4/22/2014,Boston Bruins,3,Detroit Red Wings,0,,20066,,
4/22/2014,San Jose Sharks,4,Los Angeles Kings,3,OT,18390,,
4/23/2014,Pittsburgh Penguins,3,Columbus Blue Jackets,4,OT,18970,,
4/23/2014,St. Louis Blues,3,Chicago Blackhawks,4,OT,22123,,
4/23/2014,Anaheim Ducks,2,Dallas Stars,4,,18962,,
4/24/2014,Boston Bruins,3,Detroit Red Wings,2,OT,20066,,
4/24/2014,San Jose Sharks,3,Los Angeles Kings,6,,18376,,
4/24/2014,Colorado Avalanche,1,Minnesota Wild,2,,19396,,
4/25/2014,Dallas Stars,2,Anaheim Ducks,6,,17334,,
