Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
10/12/2021,Pittsburgh Penguins,6,Tampa Bay Lightning,2,,"19,092",2:33,
10/12/2021,Seattle Kraken,3,Vegas Golden Knights,4,,"18,431",2:25,
10/13/2021,Winnipeg Jets,1,Anaheim Ducks,4,,"16,260",2:29,
10/13/2021,Chicago Blackhawks,2,Colorado Avalanche,4,,"18,037",2:32,
10/13/2021,Vancouver Canucks,2,Edmonton Oilers,3,SO,"16,034",2:42,
10/13/2021,Montreal Canadiens,1,Toronto Maple Leafs,2,,"18,493",2:33,
10/13/2021,New York Rangers,1,Washington Capitals,5,,"18,573",2:29,
10/14/2021,Montreal Canadiens,1,Buffalo Sabres,5,,"8,467",2:26,
10/14/2021,New York Islanders,3,Carolina Hurricanes,6,,"18,680",2:46,
10/14/2021,Arizona Coyotes,2,Columbus Blue Jackets,8,,"17,813",2:30,
10/14/2021,Tampa Bay Lightning,7,Detroit Red Wings,6,OT,"19,515",2:50,
10/14/2021,Pittsburgh Penguins,4,Florida Panthers,5,OT,"14,308",2:40,
10/14/2021,Vegas Golden Knights,2,Los Angeles Kings,6,,"16,589",2:32,
10/14/2021,Seattle Kraken,4,Nashville Predators,3,,"17,159",2:36,
10/14/2021,Dallas Stars,3,New York Rangers,2,OT,"17,173",2:32,
10/14/2021,Toronto Maple Leafs,2,Ottawa Senators,3,,"15,159",2:26,
10/15/2021,Minnesota Wild,2,Anaheim Ducks,1,,"11,938",2:37,
10/15/2021,Chicago Blackhawks,3,New Jersey Devils,4,OT,"16,514",2:28,
10/15/2021,Vancouver Canucks,5,Philadelphia Flyers,4,SO,"19,338",2:42,
10/16/2021,Dallas Stars,1,Boston Bruins,3,,"17,850",2:36,
10/16/2021,Arizona Coyotes,1,Buffalo Sabres,2,SO,"7,872",2:28,
10/16/2021,Seattle Kraken,1,Columbus Blue Jackets,2,OT,"17,593",2:25,
10/16/2021,St. Louis Blues,5,Colorado Avalanche,3,,"18,022",2:32,
10/16/2021,Vancouver Canucks,1,Detroit Red Wings,3,,"16,274",2:36,
10/16/2021,Calgary Flames,2,Edmonton Oilers,5,,"17,745",2:36,
10/16/2021,New York Islanders,1,Florida Panthers,5,,"12,936",2:34,
10/16/2021,Minnesota Wild,3,Los Angeles Kings,2,,"12,590",2:26,
10/16/2021,New York Rangers,3,Montreal Canadiens,1,,"21,105",2:30,
10/16/2021,Carolina Hurricanes,3,Nashville Predators,2,,"17,162",2:35,
10/16/2021,Chicago Blackhawks,2,Pittsburgh Penguins,5,,"18,420",2:15,
10/16/2021,Winnipeg Jets,3,San Jose Sharks,4,,"16,137",2:25,
10/16/2021,Ottawa Senators,1,Toronto Maple Leafs,3,,"18,211",2:29,
10/16/2021,Tampa Bay Lightning,2,Washington Capitals,1,OT,"18,573",2:43,
10/17/2021,Dallas Stars,2,Ottawa Senators,3,,"8,067",2:27,
10/18/2021,St. Louis Blues,7,Arizona Coyotes,4,,"15,235",2:27,
10/18/2021,Anaheim Ducks,3,Calgary Flames,2,OT,"15,174",2:26,
10/18/2021,Seattle Kraken,1,Philadelphia Flyers,6,,"17,727",2:30,
10/18/2021,New York Rangers,2,Toronto Maple Leafs,1,OT,"18,098",2:28,
10/19/2021,Vancouver Canucks,2,Buffalo Sabres,5,,"7,376",2:17,
10/19/2021,New York Islanders,4,Chicago Blackhawks,1,,"20,279",2:26,
10/19/2021,Columbus Blue Jackets,1,Detroit Red Wings,4,,"14,165",2:28,
10/19/2021,Anaheim Ducks,5,Edmonton Oilers,6,,"14,082",2:33,
10/19/2021,Winnipeg Jets,5,Minnesota Wild,6,OT,"18,156",2:51,
10/19/2021,San Jose Sharks,5,Montreal Canadiens,0,,"16,095",2:19,
10/19/2021,Seattle Kraken,2,New Jersey Devils,4,,"13,806",2:44,
10/19/2021,Los Angeles Kings,1,Nashville Predators,2,,"17,159",2:26,
10/19/2021,Dallas Stars,2,Pittsburgh Penguins,1,SO,"16,450",2:28,
10/19/2021,Florida Panthers,4,Tampa Bay Lightning,1,,"19,092",2:29,
10/19/2021,Colorado Avalanche,3,Washington Capitals,6,,"18,573",2:32,
10/20/2021,Boston Bruins,3,Philadelphia Flyers,6,,"15,310",2:26,
10/20/2021,St. Louis Blues,3,Vegas Golden Knights,1,,"17,690",2:26,
10/21/2021,Edmonton Oilers,5,Arizona Coyotes,1,,"9,748",2:25,
10/21/2021,New York Islanders,2,Columbus Blue Jackets,3,OT,"12,937",2:20,
10/21/2021,Vancouver Canucks,4,Chicago Blackhawks,1,,"20,490",2:27,
10/21/2021,Calgary Flames,3,Detroit Red Wings,0,,"14,241",2:17,
10/21/2021,Colorado Avalanche,1,Florida Panthers,4,,"11,245",2:34,
10/21/2021,Carolina Hurricanes,4,Montreal Canadiens,1,,"19,174",2:29,
10/21/2021,Washington Capitals,4,New Jersey Devils,1,,"12,377",2:21,
10/21/2021,New York Rangers,3,Nashville Predators,1,,"17,159",2:41,
10/21/2021,San Jose Sharks,2,Ottawa Senators,1,,"8,994",2:28,
10/21/2021,Anaheim Ducks,1,Winnipeg Jets,5,,"13,886",2:20,
10/22/2021,Boston Bruins,4,Buffalo Sabres,1,,"7,820",2:16,
10/22/2021,Los Angeles Kings,2,Dallas Stars,3,OT,"18,532",2:27,
10/22/2021,San Jose Sharks,5,Toronto Maple Leafs,3,,"18,603",2:27,
10/22/2021,Edmonton Oilers,5,Vegas Golden Knights,3,,"17,978",2:33,
10/23/2021,New York Islanders,3,Arizona Coyotes,0,,"11,690",2:26,
10/23/2021,Carolina Hurricanes,5,Columbus Blue Jackets,1,,"14,386",2:22,
10/23/2021,Anaheim Ducks,3,Minnesota Wild,4,OT,"18,055",2:41,
10/23/2021,Detroit Red Wings,1,Montreal Canadiens,6,,"19,706",2:21,
10/23/2021,Buffalo Sabres,1,New Jersey Devils,2,OT,"13,158",2:29,
10/23/2021,New York Rangers,3,Ottawa Senators,2,,"11,167",2:26,
10/23/2021,Florida Panthers,4,Philadelphia Flyers,2,,"16,936",2:31,
10/23/2021,Toronto Maple Leafs,1,Pittsburgh Penguins,7,,"15,397",2:29,
