Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
10/8/2013,Minnesota Wild,2,Nashville Predators,3,,17196,,
10/9/2013,Montreal Canadiens,2,Calgary Flames,3,,19289,,
10/9/2013,Chicago Blackhawks,2,St. Louis Blues,3,,16565,,
10/11/2013,New Jersey Devils,2,Calgary Flames,3,,19289,,
10/11/2013,New York Islanders,2,Chicago Blackhawks,3,,21196,,
10/12/2013,New York Islanders,2,Nashville Predators,3,,17113,,
10/12/2013,Ottawa Senators,2,San Jose Sharks,3,,17562,,
10/15/2013,Dallas Stars,2,Colorado Avalanche,3,,15208,,
10/15/2013,Edmonton Oilers,2,Pittsburgh Penguins,3,,18410,,
10/16/2013,Calgary Flames,2,Anaheim Ducks,3,,14051,,
10/17/2013,Edmonton Oilers,2,New York Islanders,3,,10608,,
10/26/2013,Buffalo Sabres,2,Tampa Bay Lightning,3,,18088,,
10/27/2013,Winnipeg Jets,2,Colorado Avalanche,3,,13927,,
10/28/2013,Washington Capitals,2,Vancouver Canucks,3,,18910,,
10/29/2013,Winnipeg Jets,2,St. Louis Blues,3,,15287,,
10/30/2013,Boston Bruins,2,Pittsburgh Penguins,3,,18627,,
11/7/2013,Calgary Flames,2,St. Louis Blues,3,,14877,,
11/9/2013,Florida Panthers,2,Ottawa Senators,3,,16244,,
11/12/2013,Anaheim Ducks,2,Florida Panthers,3,,13354,,
11/15/2013,Florida Panthers,2,Minnesota Wild,3,,18102,,
11/23/2013,Pittsburgh Penguins,2,Montreal Canadiens,3,,21273,,
11/29/2013,New York Rangers,2,Boston Bruins,3,,17565,,
12/2/2013,St. Louis Blues,2,Los Angeles Kings,3,,18118,,
12/2/2013,New Jersey Devils,2,Montreal Canadiens,3,,21273,,
12/7/2013,Pittsburgh Penguins,2,Boston Bruins,3,,17565,,
12/7/2013,Buffalo Sabres,2,Montreal Canadiens,3,,21273,,
12/13/2013,New Jersey Devils,2,Pittsburgh Penguins,3,,18582,,
12/14/2013,San Jose Sharks,2,Nashville Predators,3,,16243,,
12/15/2013,Edmonton Oilers,2,Anaheim Ducks,3,,16301,,
12/17/2013,Colorado Avalanche,2,Dallas Stars,3,,15143,,
12/27/2013,New York Rangers,2,Washington Capitals,3,,18506,,
12/28/2013,Los Angeles Kings,2,Nashville Predators,3,,17113,,
12/31/2013,Los Angeles Kings,2,Dallas Stars,3,,15610,,
1/7/2014,San Jose Sharks,2,Nashville Predators,3,,15016,,
1/10/2014,Dallas Stars,2,New York Rangers,3,,18006,,
1/10/2014,Toronto Maple Leafs,2,Washington Capitals,3,,18506,,
1/13/2014,Tampa Bay Lightning,2,Columbus Blue Jackets,3,,14070,,
1/18/2014,Florida Panthers,2,Carolina Hurricanes,3,,15476,,
1/18/2014,New Jersey Devils,2,Phoenix Coyotes,3,,14005,,
1/20/2014,Los Angeles Kings,2,Boston Bruins,3,,17565,,
1/20/2014,Calgary Flames,2,San Jose Sharks,3,,17562,,
1/22/2014,Phoenix Coyotes,2,Calgary Flames,3,,19289,,
