Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/30/2013,Minnesota Wild,1,Chicago Blackhawks,2,OT,21428,,
4/30/2013,Detroit Red Wings,1,Anaheim Ducks,3,,17200,,
4/30/2013,Los Angeles Kings,1,St. Louis Blues,2,OT,17612,,
5/1/2013,Toronto Maple Leafs,1,Boston Bruins,4,,17565,,
5/1/2013,San Jose Sharks,3,Vancouver Canucks,1,,18910,,
5/1/2013,New York Islanders,0,Pittsburgh Penguins,5,,18612,,
5/2/2013,Detroit Red Wings,5,Anaheim Ducks,4,OT,17182,,
5/2/2013,Ottawa Senators,4,Montreal Canadiens,2,,21273,,
5/2/2013,Los Angeles Kings,1,St. Louis Blues,2,,18681,,
5/2/2013,New York Rangers,1,Washington Capitals,3,,18506,,
5/3/2013,Minnesota Wild,2,Chicago Blackhawks,5,,22012,,
5/3/2013,Ottawa Senators,1,Montreal Canadiens,3,,21273,,
5/3/2013,New York Islanders,4,Pittsburgh Penguins,3,,18624,,
5/3/2013,San Jose Sharks,3,Vancouver Canucks,2,OT,18910,,
5/4/2013,Toronto Maple Leafs,4,Boston Bruins,2,,17565,,
5/4/2013,New York Rangers,0,Washington Capitals,1,OT,18506,,
5/4/2013,St. Louis Blues,0,Los Angeles Kings,1,,18118,,
5/4/2013,Anaheim Ducks,4,Detroit Red Wings,0,,20066,,
5/5/2013,Chicago Blackhawks,2,Minnesota Wild,3,OT,19238,,
5/5/2013,Pittsburgh Penguins,5,New York Islanders,4,OT,16170,,
5/5/2013,Montreal Canadiens,1,Ottawa Senators,6,,20249,,
5/5/2013,Vancouver Canucks,2,San Jose Sharks,5,,17562,,
5/6/2013,Boston Bruins,5,Toronto Maple Leafs,2,,19746,,
5/6/2013,St. Louis Blues,3,Los Angeles Kings,4,,18334,,
5/6/2013,Anaheim Ducks,2,Detroit Red Wings,3,OT,20066,,
5/6/2013,Washington Capitals,3,New York Rangers,4,,17200,,
5/7/2013,Chicago Blackhawks,3,Minnesota Wild,0,,19378,,
5/7/2013,Pittsburgh Penguins,4,New York Islanders,6,,16170,,
5/7/2013,Montreal Canadiens,2,Ottawa Senators,3,OT,20500,,
5/7/2013,Vancouver Canucks,3,San Jose Sharks,4,OT,17562,,
5/8/2013,Detroit Red Wings,2,Anaheim Ducks,3,OT,17395,,
5/8/2013,Washington Capitals,3,New York Rangers,4,,17200,,
5/8/2013,Los Angeles Kings,3,St. Louis Blues,2,OT,18269,,
5/8/2013,Boston Bruins,4,Toronto Maple Leafs,3,OT,19708,,
5/9/2013,Minnesota Wild,1,Chicago Blackhawks,5,,21597,,
5/9/2013,New York Islanders,0,Pittsburgh Penguins,4,,18636,,
5/9/2013,Ottawa Senators,6,Montreal Canadiens,1,,21273,,
5/10/2013,Toronto Maple Leafs,2,Boston Bruins,1,,17565,,
5/10/2013,Anaheim Ducks,3,Detroit Red Wings,4,OT,20066,,
5/10/2013,St. Louis Blues,1,Los Angeles Kings,2,,18346,,
5/10/2013,New York Rangers,1,Washington Capitals,2,OT,18506,,
5/11/2013,Pittsburgh Penguins,4,New York Islanders,3,OT,16170,,
5/12/2013,Boston Bruins,1,Toronto Maple Leafs,2,,19591,,
5/12/2013,Washington Capitals,0,New York Rangers,1,,17200,,
5/12/2013,Detroit Red Wings,3,Anaheim Ducks,2,,17412,,
5/13/2013,Toronto Maple Leafs,4,Boston Bruins,5,OT,17565,,
5/13/2013,New York Rangers,5,Washington Capitals,0,,18506,,
5/14/2013,San Jose Sharks,0,Los Angeles Kings,2,,18118,,
5/14/2013,Ottawa Senators,1,Pittsburgh Penguins,4,,18621,,
5/15/2013,Detroit Red Wings,1,Chicago Blackhawks,4,,21494,,
5/16/2013,New York Rangers,2,Boston Bruins,3,OT,17565,,
5/16/2013,San Jose Sharks,3,Los Angeles Kings,4,,18527,,
5/17/2013,Ottawa Senators,3,Pittsburgh Penguins,4,,18645,,
5/18/2013,Detroit Red Wings,4,Chicago Blackhawks,1,,21822,,
5/18/2013,Los Angeles Kings,1,San Jose Sharks,2,OT,17562,,
5/19/2013,Pittsburgh Penguins,1,Ottawa Senators,2,2OT,20500,,
5/19/2013,New York Rangers,2,Boston Bruins,5,,17565,,
5/20/2013,Chicago Blackhawks,1,Detroit Red Wings,3,,20066,,
5/21/2013,Boston Bruins,2,New York Rangers,1,,17200,,
5/21/2013,Los Angeles Kings,1,San Jose Sharks,2,,17562,,
5/22/2013,Pittsburgh Penguins,7,Ottawa Senators,3,,20500,,
5/23/2013,Chicago Blackhawks,0,Detroit Red Wings,2,,20066,,
5/23/2013,San Jose Sharks,0,Los Angeles Kings,3,,18584,,
5/23/2013,Boston Bruins,3,New York Rangers,4,OT,17200,,
5/24/2013,Ottawa Senators,2,Pittsburgh Penguins,6,,18656,,
5/25/2013,New York Rangers,1,Boston Bruins,3,,17565,,
5/25/2013,Detroit Red Wings,1,Chicago Blackhawks,4,,22014,,
5/26/2013,Los Angeles Kings,1,San Jose Sharks,2,,17562,,
5/27/2013,Chicago Blackhawks,4,Detroit Red Wings,3,,20066,,
5/28/2013,San Jose Sharks,1,Los Angeles Kings,2,,18593,,
5/29/2013,Detroit Red Wings,1,Chicago Blackhawks,2,OT,22103,,
6/1/2013,Los Angeles Kings,1,Chicago Blackhawks,2,,21535,,
6/1/2013,Boston Bruins,3,Pittsburgh Penguins,0,,18628,,
6/2/2013,Los Angeles Kings,2,Chicago Blackhawks,4,,21824,,
