Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/15/2009,Philadelphia Flyers,1,Pittsburgh Penguins,4,,17132,,
4/15/2009,Carolina Hurricanes,1,New Jersey Devils,4,,17625,,
4/15/2009,New York Rangers,4,Washington Capitals,3,,18277,,
4/15/2009,St. Louis Blues,1,Vancouver Canucks,2,,18630,,
4/16/2009,Montreal Canadiens,2,Boston Bruins,4,,17565,,
4/16/2009,Calgary Flames,2,Chicago Blackhawks,3,OT,22478,,
4/16/2009,Columbus Blue Jackets,1,Detroit Red Wings,4,,20066,,
4/16/2009,Anaheim Ducks,2,San Jose Sharks,0,,17496,,
4/17/2009,Carolina Hurricanes,2,New Jersey Devils,1,OT,17625,,
4/17/2009,Philadelphia Flyers,2,Pittsburgh Penguins,3,OT,17132,,
4/17/2009,St. Louis Blues,0,Vancouver Canucks,3,,18630,,
4/18/2009,New York Rangers,1,Washington Capitals,0,,18277,,
4/18/2009,Columbus Blue Jackets,0,Detroit Red Wings,4,,20066,,
4/18/2009,Calgary Flames,2,Chicago Blackhawks,3,,22514,,
4/18/2009,Montreal Canadiens,1,Boston Bruins,5,,17565,,
4/19/2009,New Jersey Devils,3,Carolina Hurricanes,2,OT,17971,,
4/19/2009,Pittsburgh Penguins,3,Philadelphia Flyers,6,,19745,,
4/19/2009,Anaheim Ducks,3,San Jose Sharks,2,,17496,,
4/19/2009,Vancouver Canucks,3,St. Louis Blues,2,,19500,,
4/20/2009,Chicago Blackhawks,2,Calgary Flames,4,,19289,,
4/20/2009,Boston Bruins,4,Montreal Canadiens,2,,21273,,
4/20/2009,Washington Capitals,4,New York Rangers,0,,18200,,
4/21/2009,New Jersey Devils,3,Carolina Hurricanes,4,,17465,,
4/21/2009,Vancouver Canucks,3,St. Louis Blues,2,OT,19250,,
4/21/2009,Pittsburgh Penguins,3,Philadelphia Flyers,1,,19883,,
4/21/2009,San Jose Sharks,4,Anaheim Ducks,3,,16277,,
4/21/2009,Detroit Red Wings,4,Columbus Blue Jackets,1,,19219,,
4/22/2009,Chicago Blackhawks,4,Calgary Flames,6,,19289,,
4/22/2009,Boston Bruins,4,Montreal Canadiens,1,,21273,,
4/22/2009,Washington Capitals,1,New York Rangers,2,,18200,,
4/23/2009,San Jose Sharks,0,Anaheim Ducks,4,,16830,,
4/23/2009,Detroit Red Wings,6,Columbus Blue Jackets,5,,18889,,
4/23/2009,Carolina Hurricanes,0,New Jersey Devils,1,,17625,,
4/23/2009,Philadelphia Flyers,3,Pittsburgh Penguins,0,,17132,,
4/24/2009,New York Rangers,0,Washington Capitals,4,,18277,,
4/25/2009,Calgary Flames,1,Chicago Blackhawks,5,,22563,,
4/25/2009,Pittsburgh Penguins,5,Philadelphia Flyers,3,,20072,,
4/25/2009,Anaheim Ducks,2,San Jose Sharks,3,OT,17496,,
4/26/2009,New Jersey Devils,0,Carolina Hurricanes,4,,18680,,
4/26/2009,Washington Capitals,5,New York Rangers,3,,18200,,
4/27/2009,San Jose Sharks,1,Anaheim Ducks,4,,17174,,
4/27/2009,Chicago Blackhawks,4,Calgary Flames,1,,19289,,
4/28/2009,New York Rangers,1,Washington Capitals,2,,18277,,
4/28/2009,Carolina Hurricanes,4,New Jersey Devils,3,,17625,,
4/30/2009,Chicago Blackhawks,3,Vancouver Canucks,5,,18630,,
5/1/2009,Anaheim Ducks,2,Detroit Red Wings,3,,20066,,
5/1/2009,Carolina Hurricanes,1,Boston Bruins,4,,17565,,
5/2/2009,Chicago Blackhawks,6,Vancouver Canucks,3,,18630,,
5/2/2009,Pittsburgh Penguins,2,Washington Capitals,3,,18277,,
5/3/2009,Carolina Hurricanes,3,Boston Bruins,0,,17565,,
5/3/2009,Anaheim Ducks,4,Detroit Red Wings,3,3OT,20066,,
5/4/2009,Pittsburgh Penguins,3,Washington Capitals,4,,18277,,
5/5/2009,Detroit Red Wings,1,Anaheim Ducks,2,,17174,,
5/5/2009,Vancouver Canucks,3,Chicago Blackhawks,1,,22659,,
5/6/2009,Washington Capitals,2,Pittsburgh Penguins,3,OT,17132,,
5/6/2009,Boston Bruins,2,Carolina Hurricanes,3,OT,18680,,
5/7/2009,Detroit Red Wings,6,Anaheim Ducks,3,,17601,,
5/7/2009,Vancouver Canucks,1,Chicago Blackhawks,2,OT,22682,,
5/8/2009,Boston Bruins,1,Carolina Hurricanes,4,,18878,,
5/8/2009,Washington Capitals,3,Pittsburgh Penguins,5,,17132,,
5/9/2009,Chicago Blackhawks,4,Vancouver Canucks,2,,18630,,
5/9/2009,Pittsburgh Penguins,4,Washington Capitals,3,OT,18277,,
5/10/2009,Carolina Hurricanes,0,Boston Bruins,4,,17565,,
5/10/2009,Anaheim Ducks,1,Detroit Red Wings,4,,20066,,
5/11/2009,Washington Capitals,5,Pittsburgh Penguins,4,OT,17132,,
5/11/2009,Vancouver Canucks,5,Chicago Blackhawks,7,,22687,,
5/12/2009,Detroit Red Wings,1,Anaheim Ducks,2,,17174,,
5/12/2009,Boston Bruins,4,Carolina Hurricanes,2,,18680,,
5/13/2009,Pittsburgh Penguins,6,Washington Capitals,2,,18277,,
5/14/2009,Carolina Hurricanes,3,Boston Bruins,2,OT,17565,,
5/14/2009,Anaheim Ducks,3,Detroit Red Wings,4,,20066,,
5/17/2009,Chicago Blackhawks,2,Detroit Red Wings,5,,20066,,
5/18/2009,Carolina Hurricanes,2,Pittsburgh Penguins,3,,17132,,
5/19/2009,Chicago Blackhawks,2,Detroit Red Wings,3,OT,20066,,
5/21/2009,Carolina Hurricanes,4,Pittsburgh Penguins,7,,17132,,
5/22/2009,Detroit Red Wings,3,Chicago Blackhawks,4,OT,22678,,
5/23/2009,Pittsburgh Penguins,6,Carolina Hurricanes,2,,18789,,
5/24/2009,Detroit Red Wings,6,Chicago Blackhawks,1,,22663,,
5/26/2009,Pittsburgh Penguins,4,Carolina Hurricanes,1,,18680,,
5/27/2009,Chicago Blackhawks,1,Detroit Red Wings,2,OT,20066,,
5/30/2009,Pittsburgh Penguins,1,Detroit Red Wings,3,,20066,,
5/31/2009,Pittsburgh Penguins,1,Detroit Red Wings,3,,20066,,
6/2/2009,Detroit Red Wings,2,Pittsburgh Penguins,4,,17132,,
6/4/2009,Detroit Red Wings,2,Pittsburgh Penguins,4,,17132,,
6/6/2009,Pittsburgh Penguins,0,Detroit Red Wings,5,,20066,,
6/9/2009,Detroit Red Wings,1,Pittsburgh Penguins,2,,17132,,
6/12/2009,Pittsburgh Penguins,2,Detroit Red Wings,1,,20066,,
