Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/21/2006,Edmonton Oilers,2,Detroit Red Wings,3,2OT,,,
4/21/2006,Mighty Ducks of Anaheim,1,Calgary Flames,2,OT,,,
4/21/2006,Tampa Bay Lightning,1,Ottawa Senators,4,,,,
4/21/2006,San Jose Sharks,3,Nashville Predators,4,,,,
4/22/2006,Philadelphia Flyers,2,Buffalo Sabres,3,2OT,,,
4/22/2006,New York Rangers,1,New Jersey Devils,6,,,,
4/22/2006,Colorado Avalanche,5,Dallas Stars,2,,,,
4/22/2006,Montreal Canadiens,6,Carolina Hurricanes,1,,,,
4/23/2006,Mighty Ducks of Anaheim,4,Calgary Flames,3,,,,
4/23/2006,Edmonton Oilers,4,Detroit Red Wings,2,,,,
4/23/2006,San Jose Sharks,3,Nashville Predators,0,,,,
4/23/2006,Tampa Bay Lightning,4,Ottawa Senators,3,,,,
4/24/2006,Philadelphia Flyers,2,Buffalo Sabres,8,,,,
4/24/2006,Montreal Canadiens,6,Carolina Hurricanes,5,2OT,,,
4/24/2006,Colorado Avalanche,5,Dallas Stars,4,OT,,,
4/24/2006,New York Rangers,1,New Jersey Devils,4,,,,
4/25/2006,Detroit Red Wings,3,Edmonton Oilers,4,2OT,,,
4/25/2006,Calgary Flames,5,Mighty Ducks of Anaheim,2,,,,
4/25/2006,Nashville Predators,1,San Jose Sharks,4,,,,
4/25/2006,Ottawa Senators,8,Tampa Bay Lightning,4,,,,
4/26/2006,Buffalo Sabres,2,Philadelphia Flyers,4,,,,
4/26/2006,New Jersey Devils,3,New York Rangers,0,,,,
4/26/2006,Dallas Stars,3,Colorado Avalanche,4,OT,,,
4/26/2006,Carolina Hurricanes,2,Montreal Canadiens,1,OT,,,
4/27/2006,Detroit Red Wings,4,Edmonton Oilers,2,,,,
4/27/2006,Calgary Flames,2,Mighty Ducks of Anaheim,3,OT,,,
4/27/2006,Nashville Predators,4,San Jose Sharks,5,,,,
4/27/2006,Ottawa Senators,5,Tampa Bay Lightning,2,,,,
4/28/2006,Dallas Stars,4,Colorado Avalanche,1,,,,
4/28/2006,Carolina Hurricanes,3,Montreal Canadiens,2,,,,
4/28/2006,Buffalo Sabres,4,Philadelphia Flyers,5,,,,
4/29/2006,Edmonton Oilers,3,Detroit Red Wings,2,,,,
4/29/2006,Tampa Bay Lightning,2,Ottawa Senators,3,,,,
4/29/2006,New Jersey Devils,4,New York Rangers,2,,,,
4/29/2006,Mighty Ducks of Anaheim,2,Calgary Flames,3,,,,
4/30/2006,Philadelphia Flyers,0,Buffalo Sabres,3,,,,
4/30/2006,Montreal Canadiens,1,Carolina Hurricanes,2,,,,
4/30/2006,Colorado Avalanche,3,Dallas Stars,2,OT,,,
4/30/2006,San Jose Sharks,2,Nashville Predators,1,,,,
5/1/2006,Detroit Red Wings,3,Edmonton Oilers,4,,,,
5/1/2006,Calgary Flames,1,Mighty Ducks of Anaheim,2,,,,
5/2/2006,Carolina Hurricanes,2,Montreal Canadiens,1,OT,,,
5/2/2006,Buffalo Sabres,7,Philadelphia Flyers,1,,,,
5/3/2006,Mighty Ducks of Anaheim,3,Calgary Flames,0,,,,
5/5/2006,Buffalo Sabres,7,Ottawa Senators,6,OT,,,
5/5/2006,Colorado Avalanche,0,Mighty Ducks of Anaheim,5,,,,
5/6/2006,New Jersey Devils,0,Carolina Hurricanes,6,,,,
5/7/2006,Colorado Avalanche,0,Mighty Ducks of Anaheim,3,,,,
5/7/2006,Edmonton Oilers,1,San Jose Sharks,2,,,,
5/8/2006,New Jersey Devils,2,Carolina Hurricanes,3,OT,,,
5/8/2006,Buffalo Sabres,2,Ottawa Senators,1,,,,
5/8/2006,Edmonton Oilers,1,San Jose Sharks,2,,,,
5/9/2006,Mighty Ducks of Anaheim,4,Colorado Avalanche,3,OT,,,
5/10/2006,Ottawa Senators,2,Buffalo Sabres,3,OT,,,
5/10/2006,Carolina Hurricanes,3,New Jersey Devils,2,,,,
5/10/2006,San Jose Sharks,2,Edmonton Oilers,3,3OT,,,
5/11/2006,Ottawa Senators,2,Buffalo Sabres,1,,,,
5/11/2006,Mighty Ducks of Anaheim,4,Colorado Avalanche,1,,,,
5/12/2006,San Jose Sharks,3,Edmonton Oilers,6,,,,
5/13/2006,Carolina Hurricanes,1,New Jersey Devils,5,,,,
5/13/2006,Buffalo Sabres,3,Ottawa Senators,2,OT,,,
5/14/2006,Edmonton Oilers,6,San Jose Sharks,3,,,,
5/14/2006,New Jersey Devils,1,Carolina Hurricanes,4,,,,
5/17/2006,San Jose Sharks,0,Edmonton Oilers,2,,,,
5/19/2006,Edmonton Oilers,3,Mighty Ducks of Anaheim,1,,,,
5/20/2006,Buffalo Sabres,3,Carolina Hurricanes,2,,,,
5/21/2006,Edmonton Oilers,3,Mighty Ducks of Anaheim,1,,,,
5/22/2006,Buffalo Sabres,3,Carolina Hurricanes,4,,,,
5/23/2006,Mighty Ducks of Anaheim,4,Edmonton Oilers,5,,,,
5/24/2006,Carolina Hurricanes,3,Buffalo Sabres,4,,,,
5/25/2006,Mighty Ducks of Anaheim,6,Edmonton Oilers,3,,,,
5/26/2006,Carolina Hurricanes,4,Buffalo Sabres,0,,,,
5/27/2006,Edmonton Oilers,2,Mighty Ducks of Anaheim,1,,,,
5/28/2006,Buffalo Sabres,3,Carolina Hurricanes,4,OT,,,
5/30/2006,Carolina Hurricanes,1,Buffalo Sabres,2,OT,,,
