Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/17/2002,Vancouver Canucks,4,Detroit Red Wings,3,OT,,,
4/17/2002,New Jersey Devils,1,Carolina Hurricanes,2,,,,
4/17/2002,Phoenix Coyotes,1,San Jose Sharks,2,,,,
4/17/2002,Ottawa Senators,0,Philadelphia Flyers,1,OT,,,
4/18/2002,Montreal Canadiens,5,Boston Bruins,2,,,,
4/18/2002,New York Islanders,1,Toronto Maple Leafs,3,,,,
4/18/2002,Los Angeles Kings,3,Colorado Avalanche,4,,,,
4/18/2002,Chicago Blackhawks,2,St. Louis Blues,1,,,,
4/19/2002,New Jersey Devils,1,Carolina Hurricanes,2,OT,,,
4/19/2002,Vancouver Canucks,5,Detroit Red Wings,2,,,,
4/20/2002,Los Angeles Kings,3,Colorado Avalanche,5,,,,
4/20/2002,Ottawa Senators,3,Philadelphia Flyers,0,,,,
4/20/2002,Phoenix Coyotes,3,San Jose Sharks,1,,,,
4/20/2002,Chicago Blackhawks,0,St. Louis Blues,2,,,,
4/20/2002,New York Islanders,0,Toronto Maple Leafs,2,,,,
4/21/2002,Montreal Canadiens,4,Boston Bruins,6,,,,
4/21/2002,Detroit Red Wings,3,Vancouver Canucks,1,,,,
4/21/2002,Carolina Hurricanes,0,New Jersey Devils,4,,,,
4/21/2002,St. Louis Blues,4,Chicago Blackhawks,0,,,,
4/22/2002,Colorado Avalanche,1,Los Angeles Kings,3,,,,
4/22/2002,Philadelphia Flyers,0,Ottawa Senators,3,,,,
4/22/2002,San Jose Sharks,4,Phoenix Coyotes,1,,,,
4/23/2002,Detroit Red Wings,4,Vancouver Canucks,2,,,,
4/23/2002,Toronto Maple Leafs,1,New York Islanders,6,,,,
4/23/2002,Boston Bruins,3,Montreal Canadiens,5,,,,
4/23/2002,Colorado Avalanche,1,Los Angeles Kings,0,,,,
4/23/2002,St. Louis Blues,1,Chicago Blackhawks,0,,,,
4/23/2002,Carolina Hurricanes,1,New Jersey Devils,3,,,,
4/24/2002,New Jersey Devils,2,Carolina Hurricanes,3,OT,,,
4/24/2002,Toronto Maple Leafs,3,New York Islanders,4,,,,
4/24/2002,Philadelphia Flyers,0,Ottawa Senators,3,,,,
4/24/2002,San Jose Sharks,2,Phoenix Coyotes,1,,,,
4/25/2002,Chicago Blackhawks,3,St. Louis Blues,5,,,,
4/25/2002,Boston Bruins,5,Montreal Canadiens,2,,,,
4/25/2002,Vancouver Canucks,0,Detroit Red Wings,4,,,,
4/25/2002,Los Angeles Kings,1,Colorado Avalanche,0,OT,,,
4/26/2002,Ottawa Senators,2,Philadelphia Flyers,1,OT,,,
4/26/2002,Phoenix Coyotes,1,San Jose Sharks,4,,,,
4/26/2002,New York Islanders,3,Toronto Maple Leafs,6,,,,
4/27/2002,Montreal Canadiens,2,Boston Bruins,1,,,,
4/27/2002,Colorado Avalanche,1,Los Angeles Kings,3,,,,
4/27/2002,Carolina Hurricanes,1,New Jersey Devils,0,,,,
4/27/2002,Detroit Red Wings,6,Vancouver Canucks,4,,,,
4/28/2002,Toronto Maple Leafs,3,New York Islanders,5,,,,
4/29/2002,Boston Bruins,1,Montreal Canadiens,2,,,,
4/29/2002,Los Angeles Kings,0,Colorado Avalanche,4,,,,
4/30/2002,New York Islanders,2,Toronto Maple Leafs,4,,,,
5/1/2002,San Jose Sharks,6,Colorado Avalanche,3,,,,
5/2/2002,St. Louis Blues,0,Detroit Red Wings,2,,,,
5/2/2002,Ottawa Senators,5,Toronto Maple Leafs,0,,,,
5/3/2002,Montreal Canadiens,0,Carolina Hurricanes,2,,,,
5/4/2002,San Jose Sharks,2,Colorado Avalanche,8,,,,
5/4/2002,St. Louis Blues,2,Detroit Red Wings,3,,,,
