Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
10/10/2008,Chicago Blackhawks,2,New York Rangers,4,,18200,,
10/10/2008,Nashville Predators,2,St. Louis Blues,5,,19150,,
10/11/2008,St. Louis Blues,2,New York Islanders,5,,16234,,
10/11/2008,Chicago Blackhawks,2,Washington Capitals,4,,18277,,
10/12/2008,Colorado Avalanche,2,Edmonton Oilers,3,,16839,,
10/14/2008,Columbus Blue Jackets,2,San Jose Sharks,5,,17496,,
10/16/2008,Philadelphia Flyers,2,Colorado Avalanche,5,,18007,,
10/17/2008,Vancouver Canucks,2,Buffalo Sabres,5,,18449,,
10/18/2008,Calgary Flames,2,Edmonton Oilers,3,,16839,,
10/19/2008,Vancouver Canucks,2,Chicago Blackhawks,4,,21193,,
10/20/2008,Dallas Stars,2,New York Rangers,1,,18200,,
10/21/2008,Vancouver Canucks,2,Columbus Blue Jackets,4,,12057,,
10/25/2008,Ottawa Senators,2,Toronto Maple Leafs,3,,19232,,
10/27/2008,Chicago Blackhawks,2,Minnesota Wild,3,,18568,,
10/29/2008,Minnesota Wild,2,Dallas Stars,4,,18431,,
10/30/2008,Boston Bruins,2,Calgary Flames,3,,19289,,
10/30/2008,Ottawa Senators,2,Florida Panthers,1,,13567,,
10/30/2008,Montreal Canadiens,2,Minnesota Wild,1,,18568,,
10/30/2008,Atlanta Thrashers,2,New York Rangers,3,,18200,,
10/30/2008,Detroit Red Wings,2,San Jose Sharks,4,,17496,,
10/31/2008,Dallas Stars,2,Chicago Blackhawks,5,,21212,,
11/1/2008,New York Rangers,2,Toronto Maple Leafs,5,,19179,,
11/2/2008,Calgary Flames,2,Anaheim Ducks,3,,16965,,
11/3/2008,Colorado Avalanche,2,Chicago Blackhawks,6,,21142,,
11/3/2008,Buffalo Sabres,2,New Jersey Devils,0,,10567,,
11/4/2008,New York Islanders,2,New York Rangers,1,,18200,,
11/5/2008,St. Louis Blues,2,Anaheim Ducks,5,,16144,,
11/6/2008,Toronto Maple Leafs,2,Boston Bruins,5,,15391,,
11/6/2008,Florida Panthers,2,Los Angeles Kings,3,,11267,,
11/6/2008,Tampa Bay Lightning,2,New York Rangers,5,,18200,,
11/6/2008,Carolina Hurricanes,2,Washington Capitals,3,,17874,,
11/8/2008,Tampa Bay Lightning,2,Philadelphia Flyers,1,,19412,,
11/9/2008,Edmonton Oilers,2,New Jersey Devils,1,,14193,,
11/9/2008,San Jose Sharks,2,Phoenix Coyotes,4,,15056,,
11/10/2008,Tampa Bay Lightning,2,Washington Capitals,4,,17932,,
11/14/2008,Carolina Hurricanes,2,Atlanta Thrashers,3,,16128,,
11/15/2008,Philadelphia Flyers,2,Montreal Canadiens,1,,21273,,
11/15/2008,Ottawa Senators,2,New York Islanders,3,,13722,,
11/15/2008,Buffalo Sabres,2,Pittsburgh Penguins,5,,17132,,
11/15/2008,Toronto Maple Leafs,2,Vancouver Canucks,4,,18630,,
11/20/2008,Washington Capitals,2,Los Angeles Kings,5,,17428,,
11/21/2008,Florida Panthers,2,Boston Bruins,4,,16878,,
11/21/2008,Phoenix Coyotes,2,Carolina Hurricanes,5,,14848,,
11/21/2008,New York Islanders,2,New Jersey Devils,5,,17138,,
11/22/2008,Columbus Blue Jackets,2,Atlanta Thrashers,0,,15561,,
11/22/2008,St. Louis Blues,2,Minnesota Wild,1,,18568,,
11/22/2008,Washington Capitals,2,San Jose Sharks,7,,17496,,
11/24/2008,Carolina Hurricanes,2,Florida Panthers,3,,11117,,
11/25/2008,Los Angeles Kings,2,Calgary Flames,6,,19289,,
11/26/2008,Boston Bruins,2,Buffalo Sabres,3,,18326,,
11/26/2008,Los Angeles Kings,2,Edmonton Oilers,1,,16839,,
11/28/2008,New York Islanders,2,Boston Bruins,7,,17565,,
11/28/2008,Tampa Bay Lightning,2,Minnesota Wild,4,,18568,,
11/29/2008,Chicago Blackhawks,2,Los Angeles Kings,5,,16147,,
11/29/2008,Buffalo Sabres,2,Montreal Canadiens,3,,21273,,
11/29/2008,Ottawa Senators,2,New York Islanders,4,,13108,,
11/29/2008,Philadelphia Flyers,2,Toronto Maple Leafs,4,,19387,,
12/1/2008,Nashville Predators,2,Buffalo Sabres,0,,18690,,
12/1/2008,Vancouver Canucks,2,Columbus Blue Jackets,3,,13299,,
12/2/2008,Los Angeles Kings,2,Phoenix Coyotes,4,,11473,,
12/2/2008,Toronto Maple Leafs,2,San Jose Sharks,5,,17496,,
12/3/2008,Anaheim Ducks,2,Chicago Blackhawks,4,,21574,,
12/3/2008,Dallas Stars,2,Edmonton Oilers,5,,16839,,
12/4/2008,New York Rangers,2,Montreal Canadiens,6,,21273,,
12/4/2008,Colorado Avalanche,2,Nashville Predators,3,,12717,,
12/4/2008,Columbus Blue Jackets,2,San Jose Sharks,3,,17496,,
12/4/2008,New York Islanders,2,Washington Capitals,5,,18130,,
12/5/2008,Vancouver Canucks,2,Minnesota Wild,1,,18568,,
12/6/2008,Pittsburgh Penguins,2,Ottawa Senators,3,,19561,,
12/6/2008,Washington Capitals,2,Toronto Maple Leafs,1,,19416,,
12/8/2008,New York Islanders,2,Toronto Maple Leafs,4,,19309,,
12/10/2008,St. Louis Blues,2,Anaheim Ducks,4,,16058,,
12/10/2008,Tampa Bay Lightning,2,Buffalo Sabres,4,,18431,,
12/11/2008,Florida Panthers,2,Edmonton Oilers,0,,16839,,
12/11/2008,St. Louis Blues,2,Los Angeles Kings,6,,13851,,
12/11/2008,New York Islanders,2,Pittsburgh Penguins,9,,16972,,
12/12/2008,Toronto Maple Leafs,2,Buffalo Sabres,1,,18211,,
12/13/2008,Atlanta Thrashers,2,Boston Bruins,4,,17565,,
12/13/2008,Washington Capitals,2,Montreal Canadiens,1,,21273,,
