Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
1/19/2013,New York Rangers,1,Boston Bruins,3,,17565,,
1/19/2013,Carolina Hurricanes,1,Florida Panthers,5,,19688,,
1/19/2013,Colorado Avalanche,2,Minnesota Wild,4,,19298,,
1/19/2013,Toronto Maple Leafs,2,Montreal Canadiens,1,,21273,,
1/19/2013,New Jersey Devils,2,New York Islanders,1,,16170,,
1/19/2013,Phoenix Coyotes,3,Dallas Stars,4,,18532,,
1/19/2013,Pittsburgh Penguins,3,Philadelphia Flyers,1,,19994,,
1/19/2013,Washington Capitals,3,Tampa Bay Lightning,6,,19204,,
1/19/2013,Ottawa Senators,4,Winnipeg Jets,1,,15004,,
1/19/2013,Chicago Blackhawks,5,Los Angeles Kings,2,,18545,,
1/19/2013,Detroit Red Wings,0,St. Louis Blues,6,,20035,,
1/19/2013,Anaheim Ducks,7,Vancouver Canucks,3,,18910,,
1/19/2013,Columbus Blue Jackets,3,Nashville Predators,2,SO,17113,,
1/20/2013,Philadelphia Flyers,2,Buffalo Sabres,5,,19070,,
1/20/2013,San Jose Sharks,4,Calgary Flames,1,,19289,,
1/20/2013,Dallas Stars,0,Minnesota Wild,1,,18296,,
1/20/2013,Pittsburgh Penguins,6,New York Rangers,3,,17200,,
1/20/2013,Chicago Blackhawks,6,Phoenix Coyotes,4,,17363,,
1/20/2013,Edmonton Oilers,3,Vancouver Canucks,2,SO,18910,,
1/21/2013,Buffalo Sabres,2,Toronto Maple Leafs,1,,19475,,
1/21/2013,Tampa Bay Lightning,3,New York Islanders,4,,15322,,
1/21/2013,Anaheim Ducks,5,Calgary Flames,4,,19289,,
1/21/2013,Florida Panthers,0,Ottawa Senators,4,,19952,,
1/21/2013,Winnipeg Jets,1,Boston Bruins,2,SO,17565,,
1/21/2013,Detroit Red Wings,4,Columbus Blue Jackets,3,SO,19206,,
1/21/2013,St. Louis Blues,4,Nashville Predators,3,SO,17113,,
1/22/2013,Los Angeles Kings,1,Colorado Avalanche,3,,18007,,
1/22/2013,Florida Panthers,1,Montreal Canadiens,4,,21273,,
1/22/2013,St. Louis Blues,2,Chicago Blackhawks,3,,21455,,
1/22/2013,Dallas Stars,2,Detroit Red Wings,1,,20066,,
1/22/2013,Nashville Predators,3,Minnesota Wild,1,,17540,,
1/22/2013,Tampa Bay Lightning,4,Carolina Hurricanes,1,,18680,,
1/22/2013,Winnipeg Jets,4,Washington Capitals,2,,18506,,
1/22/2013,San Jose Sharks,6,Edmonton Oilers,3,,16839,,
1/22/2013,Philadelphia Flyers,0,New Jersey Devils,3,,17625,,
1/23/2013,Columbus Blue Jackets,1,Phoenix Coyotes,5,,8355,,
1/23/2013,Toronto Maple Leafs,5,Pittsburgh Penguins,2,,18641,,
1/23/2013,Calgary Flames,2,Vancouver Canucks,3,SO,19810,,
1/23/2013,Boston Bruins,3,New York Rangers,4,OT,17200,,
1/24/2013,New York Rangers,1,Philadelphia Flyers,2,,19596,,
1/24/2013,Buffalo Sabres,3,Carolina Hurricanes,6,,18081,,
1/24/2013,Ottawa Senators,3,Florida Panthers,1,,15634,,
1/24/2013,Phoenix Coyotes,3,San Jose Sharks,5,,17562,,
1/24/2013,Montreal Canadiens,4,Washington Capitals,1,,18506,,
1/24/2013,Columbus Blue Jackets,0,Colorado Avalanche,4,,14325,,
