Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/11/2001,Los Angeles Kings,3,Detroit Red Wings,5,,,,
4/11/2001,Edmonton Oilers,1,Dallas Stars,2,OT,,,
4/11/2001,Buffalo Sabres,2,Philadelphia Flyers,1,,,,
4/12/2001,Vancouver Canucks,4,Colorado Avalanche,5,,,,
4/12/2001,Carolina Hurricanes,1,New Jersey Devils,5,,,,
4/12/2001,San Jose Sharks,1,St. Louis Blues,3,,,,
4/12/2001,Pittsburgh Penguins,0,Washington Capitals,1,,,,
4/13/2001,Toronto Maple Leafs,1,Ottawa Senators,0,OT,,,
4/14/2001,Toronto Maple Leafs,3,Ottawa Senators,0,,,,
4/14/2001,Pittsburgh Penguins,2,Washington Capitals,1,,,,
4/14/2001,San Jose Sharks,1,St. Louis Blues,0,,,,
4/14/2001,Buffalo Sabres,4,Philadelphia Flyers,3,OT,,,
4/14/2001,Los Angeles Kings,0,Detroit Red Wings,4,,,,
4/14/2001,Edmonton Oilers,4,Dallas Stars,3,,,,
4/14/2001,Vancouver Canucks,1,Colorado Avalanche,2,,,,
4/15/2001,Dallas Stars,3,Edmonton Oilers,2,OT,,,
4/15/2001,Detroit Red Wings,1,Los Angeles Kings,2,,,,
4/15/2001,Carolina Hurricanes,0,New Jersey Devils,2,,,,
4/16/2001,Colorado Avalanche,4,Vancouver Canucks,3,OT,,,
4/16/2001,Ottawa Senators,2,Toronto Maple Leafs,3,OT,,,
4/16/2001,Washington Capitals,0,Pittsburgh Penguins,3,,,,
4/16/2001,Philadelphia Flyers,3,Buffalo Sabres,2,,,,
4/16/2001,St. Louis Blues,6,San Jose Sharks,3,,,,
4/17/2001,Philadelphia Flyers,3,Buffalo Sabres,4,OT,,,
4/17/2001,New Jersey Devils,4,Carolina Hurricanes,0,,,,
4/17/2001,Dallas Stars,1,Edmonton Oilers,2,OT,,,
4/17/2001,St. Louis Blues,2,San Jose Sharks,3,,,,
4/18/2001,Colorado Avalanche,5,Vancouver Canucks,1,,,,
4/18/2001,Ottawa Senators,1,Toronto Maple Leafs,3,,,,
4/18/2001,Washington Capitals,4,Pittsburgh Penguins,3,OT,,,
4/18/2001,Detroit Red Wings,3,Los Angeles Kings,4,OT,,,
4/18/2001,New Jersey Devils,2,Carolina Hurricanes,3,OT,,,
4/19/2001,Edmonton Oilers,3,Dallas Stars,4,OT,,,
4/19/2001,Buffalo Sabres,1,Philadelphia Flyers,3,,,,
4/19/2001,San Jose Sharks,2,St. Louis Blues,3,OT,,,
4/20/2001,Carolina Hurricanes,3,New Jersey Devils,2,,,,
4/21/2001,Philadelphia Flyers,0,Buffalo Sabres,8,,,,
4/21/2001,Los Angeles Kings,3,Detroit Red Wings,2,,,,
4/21/2001,Dallas Stars,3,Edmonton Oilers,1,,,,
4/21/2001,St. Louis Blues,2,San Jose Sharks,1,,,,
4/21/2001,Pittsburgh Penguins,2,Washington Capitals,1,,,,
4/22/2001,New Jersey Devils,5,Carolina Hurricanes,1,,,,
4/23/2001,Washington Capitals,3,Pittsburgh Penguins,4,OT,,,
4/23/2001,Detroit Red Wings,2,Los Angeles Kings,3,OT,,,
4/26/2001,Pittsburgh Penguins,3,Buffalo Sabres,0,,,,
4/26/2001,Toronto Maple Leafs,2,New Jersey Devils,0,,,,
4/26/2001,Los Angeles Kings,4,Colorado Avalanche,3,OT,,,
4/27/2001,St. Louis Blues,4,Dallas Stars,2,,,,
4/28/2001,Pittsburgh Penguins,3,Buffalo Sabres,1,,,,
