Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
10/4/2000,Colorado Avalanche,2,Dallas Stars,2,OT,,,
10/5/2000,Ottawa Senators,4,Boston Bruins,4,OT,,,
10/5/2000,Chicago Blackhawks,2,Buffalo Sabres,4,,,,
10/5/2000,Detroit Red Wings,4,Calgary Flames,3,,,,
10/5/2000,Vancouver Canucks,3,Philadelphia Flyers,6,,,,
10/5/2000,St. Louis Blues,1,Phoenix Coyotes,4,,,,
10/6/2000,Detroit Red Wings,1,Edmonton Oilers,2,,,,
10/6/2000,Vancouver Canucks,4,Florida Panthers,3,OT,,,
10/6/2000,Minnesota Wild,1,Mighty Ducks of Anaheim,3,,,,
10/6/2000,Montreal Canadiens,4,New Jersey Devils,8,,,,
10/6/2000,Nashville Predators,3,Pittsburgh Penguins,1,,,,"at Yoyogi Arena (Tokyo, JP)"
10/6/2000,St. Louis Blues,4,San Jose Sharks,1,,,,
10/6/2000,New York Islanders,3,Tampa Bay Lightning,3,OT,,,
10/6/2000,Los Angeles Kings,4,Washington Capitals,1,,,,
10/7/2000,New York Rangers,2,Atlanta Thrashers,1,,,,
10/7/2000,Los Angeles Kings,3,Buffalo Sabres,5,,,,
10/7/2000,Washington Capitals,3,Carolina Hurricanes,3,OT,,,
10/7/2000,Chicago Blackhawks,5,Columbus Blue Jackets,3,,,,
10/7/2000,Colorado Avalanche,1,Edmonton Oilers,1,OT,,,
10/7/2000,Pittsburgh Penguins,3,Nashville Predators,1,,,,"at Yoyogi Arena (Tokyo, JP)"
10/7/2000,Dallas Stars,1,Ottawa Senators,3,,,,
10/7/2000,Boston Bruins,5,Philadelphia Flyers,1,,,,
10/7/2000,Minnesota Wild,1,Phoenix Coyotes,4,,,,
10/7/2000,Montreal Canadiens,0,Toronto Maple Leafs,2,,,,
10/8/2000,St. Louis Blues,5,Mighty Ducks of Anaheim,1,,,,
10/8/2000,Vancouver Canucks,5,Tampa Bay Lightning,4,,,,
10/9/2000,Florida Panthers,2,Boston Bruins,4,,,,
10/9/2000,Los Angeles Kings,7,Columbus Blue Jackets,1,,,,
10/9/2000,Dallas Stars,3,Toronto Maple Leafs,1,,,,
10/10/2000,Dallas Stars,2,Carolina Hurricanes,5,,,,
10/10/2000,Colorado Avalanche,3,Calgary Flames,1,,,,
10/10/2000,Edmonton Oilers,2,Montreal Canadiens,5,,,,
10/11/2000,Washington Capitals,3,Atlanta Thrashers,3,OT,,,
10/11/2000,Edmonton Oilers,4,Detroit Red Wings,3,,,,
10/11/2000,St. Louis Blues,4,Los Angeles Kings,4,OT,,,
10/11/2000,Boston Bruins,3,Mighty Ducks of Anaheim,2,OT,,,
10/11/2000,Philadelphia Flyers,3,Minnesota Wild,3,OT,,,
10/11/2000,Montreal Canadiens,1,New York Rangers,3,,,,
10/11/2000,New York Islanders,2,Toronto Maple Leafs,3,,,,
10/12/2000,Columbus Blue Jackets,3,Calgary Flames,2,,,,
10/12/2000,Detroit Red Wings,4,Chicago Blackhawks,0,,,,
10/12/2000,Philadelphia Flyers,1,Dallas Stars,4,,,,
