Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Joel Quenneville,Florida Panthers,7,7,0,0,0,Replaced Midseason
Andrew Brunette,Florida Panthers,75,51,18,0,6,Midseason Replacement
Sheldon Keefe,Toronto Maple Leafs,82,54,21,0,7,
Jon Cooper,Tampa Bay Lightning,82,51,23,0,8,
Bruce Cassidy,Boston Bruins,82,51,26,0,5,
Don Granato,Buffalo Sabres,82,32,39,0,11,
Jeff Blashill,Detroit Red Wings,82,32,40,0,10,
D.J. Smith,Ottawa Senators,82,33,42,0,7,
Dom Ducharme,Montreal Canadiens,45,8,30,0,7,Replaced Midseason
Martin St. Louis,Montreal Canadiens,37,14,19,0,4,Midseason Replacement
Jared Bednar,Colorado Avalanche,82,56,19,0,7,
Dean Evason,Minnesota Wild,82,53,22,0,7,
Craig Berube,St. Louis Blues,82,49,22,0,11,
Rick Bowness,Dallas Stars,82,46,30,0,6,
John Hynes,Nashville Predators,82,45,30,0,7,
Paul Maurice,Winnipeg Jets,82,39,32,0,11,
Jeremy Colliton,Chicago Blackhawks,12,1,9,0,2,Replaced Midseason
Derek King,Chicago Blackhawks,70,27,33,0,10,Midseason Replacement
Andre Tourigny,Arizona Coyotes,82,25,50,0,7,
Rod Brind'Amour,Carolina Hurricanes,82,54,20,0,8,
Gerard Gallant,New York Rangers,82,52,24,0,6,
Mike Sullivan,Pittsburgh Penguins,82,46,25,0,11,
Peter Laviolette,Washington Capitals,82,44,26,0,12,
Barry Trotz,New York Islanders,82,37,35,0,10,
Brad Larsen,Columbus Blue Jackets,82,37,38,0,7,
Lindy Ruff,New Jersey Devils,82,27,46,0,9,
Alain Vigneault,Philadelphia Flyers,22,8,10,0,4,Replaced Midseason
Mike Yeo,Philadelphia Flyers,60,17,36,0,7,Midseason Replacement
Darryl Sutter,Calgary Flames,82,50,21,0,11,
Dave Tippett,Edmonton Oilers,44,23,18,0,3,Replaced Midseason
Jay Woodcroft,Edmonton Oilers,38,26,9,0,3,Midseason Replacement
Todd McLellan,Los Angeles Kings,82,44,27,0,11,
Peter DeBoer,Vegas Golden Knights,82,43,31,0,8,
Travis Green,Vancouver Canucks,25,8,15,0,2,Replaced Midseason
Bruce Boudreau,Vancouver Canucks,57,32,15,0,10,Midseason Replacement
Bob Boughner,San Jose Sharks,82,32,37,0,13,
Dallas Eakins,Anaheim Ducks,82,31,37,0,14,
Dave Hakstol,Seattle Kraken,82,27,49,0,6,
