Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Dan Bylsma,Pittsburgh Penguins,48,36,12,0,0,
John Tortorella,New York Rangers,48,26,18,0,4,
Jack Capuano,New York Islanders,48,24,17,0,3,
Peter Laviolette,Philadelphia Flyers,48,23,22,0,2,
Peter DeBoer,New Jersey Devils,48,19,19,0,7,
Joel Quenneville,Chicago Blackhawks,48,36,7,0,5,
Ken Hitchcock,St. Louis Blues,48,29,17,0,1,
Mike Babcock,Detroit Red Wings,48,24,16,0,5,
Todd Richards,Columbus Blue Jackets,48,24,17,0,4,
Barry Trotz,Nashville Predators,48,16,23,0,6,
Michel Therrien,Montreal Canadiens,48,29,14,0,2,
Claude Julien,Boston Bruins,48,28,14,0,3,
Randy Carlyle,Toronto Maple Leafs,48,26,17,0,5,
Paul MacLean,Ottawa Senators,48,25,17,0,4,
Lindy Ruff,Buffalo Sabres,17,6,10,0,1,Replaced Midseason
Ron Rolston,Buffalo Sabres,31,15,11,0,5,Midseason Replacement
Alain Vigneault,Vancouver Canucks,48,26,15,0,6,
Mike Yeo,Minnesota Wild,48,26,19,0,2,
Ralph Krueger,Edmonton Oilers,48,19,22,0,3,
Bob Hartley,Calgary Flames,48,19,25,0,3,
Joe Sacco,Colorado Avalanche,48,16,25,0,2,
Bruce Boudreau,Anaheim Ducks,48,30,12,0,3,
Darryl Sutter,Los Angeles Kings,48,27,16,0,4,
Todd McLellan,San Jose Sharks,48,25,16,0,4,
Dave Tippett,Phoenix Coyotes,48,21,18,0,6,
Glen Gulutzan,Dallas Stars,48,22,22,0,1,
Adam Oates,Washington Capitals,48,27,18,0,0,
Claude Noel,Winnipeg Jets,48,24,21,0,3,
Kirk Muller,Carolina Hurricanes,48,19,25,0,1,
Guy Boucher,Tampa Bay Lightning,31,13,17,0,1,Replaced Midseason
Jon Cooper,Tampa Bay Lightning,17,5,9,0,3,Midseason Replacement
Kevin Dineen,Florida Panthers,48,15,27,0,1,
