Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Claude Julien,New Jersey Devils,82,49,24,0,9,
Michel Therrien,Pittsburgh Penguins,82,47,24,0,11,
Tom Renney,New York Rangers,82,42,30,0,10,
Ted Nolan,New York Islanders,82,40,30,0,12,
Ken Hitchcock,Philadelphia Flyers,8,1,6,0,1,Replaced Midseason
John Stevens,Philadelphia Flyers,74,21,42,0,11,Midseason Replacement
Mike Babcock,Detroit Red Wings,82,50,19,0,13,
Barry Trotz,Nashville Predators,82,51,23,0,8,
Mike Kitchen,St. Louis Blues,28,7,17,0,4,Replaced Midseason
Andy Murray,St. Louis Blues,54,27,18,0,9,Midseason Replacement
Gerard Gallant,Columbus Blue Jackets,15,5,9,0,1,Replaced Midseason
Gary Agnew,Columbus Blue Jackets,5,0,4,0,1,Midseason Replacement and Replaced Midseason
Ken Hitchcock,Columbus Blue Jackets,62,28,29,0,5,Midseason Replacement
Trent Yawney,Chicago Blackhawks,21,7,12,0,2,Replaced Midseason
Denis Savard,Chicago Blackhawks,61,24,30,0,7,Midseason Replacement
Lindy Ruff,Buffalo Sabres,82,53,22,0,7,
Bryan Murray,Ottawa Senators,82,48,25,0,9,
Paul Maurice,Toronto Maple Leafs,82,40,31,0,11,
Guy Carbonneau,Montreal Canadiens,82,42,34,0,6,
Dave Lewis,Boston Bruins,82,35,41,0,6,
Alain Vigneault,Vancouver Canucks,82,49,26,0,7,
Jacques Lemaire,Minnesota Wild,82,48,26,0,8,
Jim Playfair,Calgary Flames,82,43,29,0,10,
Joel Quenneville,Colorado Avalanche,82,44,31,0,7,
Craig MacTavish,Edmonton Oilers,82,32,43,0,7,
Randy Carlyle,Anaheim Ducks,82,48,20,0,14,
Ron Wilson,San Jose Sharks,82,51,26,0,5,
Dave Tippett,Dallas Stars,82,50,25,0,7,
Marc Crawford,Los Angeles Kings,82,27,41,0,14,
Wayne Gretzky,Phoenix Coyotes,82,31,46,0,5,
Bob Hartley,Atlanta Thrashers,82,43,28,0,11,
John Tortorella,Tampa Bay Lightning,82,44,33,0,5,
Peter Laviolette,Carolina Hurricanes,82,40,34,0,8,
Jacques Martin,Florida Panthers,82,35,31,0,16,
Glen Hanlon,Washington Capitals,82,28,40,0,14,
