Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Pat Burns,New Jersey Devils,82,46,20,10,6,
Ken Hitchcock,Philadelphia Flyers,82,45,20,13,4,
Peter Laviolette,New York Islanders,82,35,34,11,2,
Bryan Trottier,New York Rangers,54,21,26,6,1,Replaced Midseason
Glen Sather,New York Rangers,28,11,10,4,3,Midseason Replacement
Rick Kehoe,Pittsburgh Penguins,82,27,44,6,5,
Dave Lewis,Detroit Red Wings,82,48,20,10,4,
Joel Quenneville,St. Louis Blues,82,41,24,11,6,
Brian Sutter,Chicago Blackhawks,82,30,33,13,6,
Barry Trotz,Nashville Predators,82,27,35,13,7,
Dave King,Columbus Blue Jackets,40,14,20,4,2,Replaced Midseason
Doug MacLean,Columbus Blue Jackets,40,15,20,4,1,Midseason Replacement
Jacques Martin,Ottawa Senators,82,52,21,8,1,
Pat Quinn,Toronto Maple Leafs,82,44,28,7,3,
Robbie Ftorek,Boston Bruins,73,33,28,8,4,Replaced Midseason
Mike O'Connell,Boston Bruins,9,3,3,3,0,Midseason Replacement
Michel Therrien,Montreal Canadiens,46,18,19,4,5,Replaced Midseason
Claude Julien,Montreal Canadiens,36,12,16,4,4,Midseason Replacement
Lindy Ruff,Buffalo Sabres,82,27,37,10,8,
Bob Hartley,Colorado Avalanche,31,10,8,9,4,Replaced Midseason
Tony Granato,Colorado Avalanche,51,32,11,4,4,Midseason Replacement
Marc Crawford,Vancouver Canucks,82,45,23,13,1,
Jacques Lemaire,Minnesota Wild,82,42,29,10,1,
Craig MacTavish,Edmonton Oilers,82,36,26,11,9,
Greg Gilbert,Calgary Flames,25,6,13,3,3,Replaced Midseason
Al MacNeil,Calgary Flames,11,4,5,2,0,Midseason Replacement and Replaced Midseason
Darryl Sutter,Calgary Flames,46,19,18,8,1,Midseason Replacement
Dave Tippett,Dallas Stars,82,46,17,15,4,
Mike Babcock,Anaheim Mighty Ducks,82,40,27,9,6,
Andy Murray,Los Angeles Kings,82,33,37,6,6,
Bob Francis,Phoenix Coyotes,82,31,35,11,5,
Darryl Sutter,San Jose Sharks,24,9,12,2,1,Replaced Midseason
"Robert ""Cap"" Raeder",San Jose Sharks,1,0,0,0,1,Midseason Replacement and Replaced Midseason
Ron Wilson,San Jose Sharks,57,19,31,0,7,Midseason Replacement
John Tortorella,Tampa Bay Lightning,82,36,25,16,5,
Bruce Cassidy,Washington Capitals,82,39,29,8,6,
Curt Fraser,Atlanta Thrashers,33,8,20,1,4,Replaced Midseason
Don Waddell,Atlanta Thrashers,9,3,5,1,0,Midseason Replacement and Replaced Midseason
Bob Hartley,Atlanta Thrashers,40,20,14,5,1,Midseason Replacement
Mike Keenan,Florida Panthers,82,24,36,13,9,
Paul Maurice,Carolina Hurricanes,82,22,43,11,6,
