Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Jacques Lemaire,New Jersey Devils,82,48,27,0,7,
Dan Bylsma,Pittsburgh Penguins,82,47,28,0,7,
John Stevens,Philadelphia Flyers,26,13,12,0,1,Replaced Midseason
Peter Laviolette,Philadelphia Flyers,56,28,23,0,5,Midseason Replacement
John Tortorella,New York Rangers,82,38,33,0,11,
Scott Gordon,New York Islanders,82,34,37,0,11,
Joel Quenneville,Chicago Blackhawks,82,52,22,0,8,
Mike Babcock,Detroit Red Wings,82,44,24,0,14,
Barry Trotz,Nashville Predators,82,47,29,0,6,
Andy Murray,St. Louis Blues,40,17,17,0,6,Replaced Midseason
Davis Payne,St. Louis Blues,42,23,15,0,4,Midseason Replacement
Ken Hitchcock,Columbus Blue Jackets,58,22,27,0,9,Replaced Midseason
Claude Noel,Columbus Blue Jackets,24,10,8,0,6,Midseason Replacement
Lindy Ruff,Buffalo Sabres,82,45,27,0,10,
Cory Clouston,Ottawa Senators,82,44,32,0,6,
Claude Julien,Boston Bruins,82,39,30,0,13,
Jacques Martin,Montreal Canadiens,82,39,33,0,10,
Ron Wilson,Toronto Maple Leafs,82,30,38,0,14,
Alain Vigneault,Vancouver Canucks,82,49,28,0,5,
Joe Sacco,Colorado Avalanche,82,43,30,0,9,
Brent Sutter,Calgary Flames,82,40,32,0,10,
Todd Richards,Minnesota Wild,82,38,36,0,8,
Pat Quinn,Edmonton Oilers,82,27,47,0,8,
Todd McLellan,San Jose Sharks,82,51,20,0,11,
Dave Tippett,Phoenix Coyotes,82,50,25,0,7,
Terry Murray,Los Angeles Kings,82,46,27,0,9,
Randy Carlyle,Anaheim Ducks,82,39,32,0,11,
Marc Crawford,Dallas Stars,82,37,31,0,14,
Bruce Boudreau,Washington Capitals,82,54,15,0,13,
John Anderson,Atlanta Thrashers,82,35,34,0,13,
Paul Maurice,Carolina Hurricanes,82,35,37,0,10,
Rick Tocchet,Tampa Bay Lightning,82,34,36,0,12,
Peter DeBoer,Florida Panthers,82,32,37,0,13,
