Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Larry Robinson,New Jersey Devils,32,14,13,0,5,Replaced Midseason
Lou Lamoriello,New Jersey Devils,50,32,14,0,4,Midseason Replacement
Ken Hitchcock,Philadelphia Flyers,82,45,26,0,11,
Tom Renney,New York Rangers,82,44,26,0,12,
Steve Stirling,New York Islanders,42,18,22,0,2,Replaced Midseason
Brad Shaw,New York Islanders,40,18,18,0,4,Midseason Replacement
Ed Olczyk,Pittsburgh Penguins,31,8,17,0,6,Replaced Midseason
Michel Therrien,Pittsburgh Penguins,51,14,29,0,8,Midseason Replacement
Mike Babcock,Detroit Red Wings,82,58,16,0,8,
Barry Trotz,Nashville Predators,82,49,25,0,8,
Gerard Gallant,Columbus Blue Jackets,82,35,43,0,4,
Trent Yawney,Chicago Blackhawks,82,26,43,0,13,
Mike Kitchen,St. Louis Blues,82,21,46,0,15,
Bryan Murray,Ottawa Senators,82,52,21,0,9,
Lindy Ruff,Buffalo Sabres,82,52,24,0,6,
Claude Julien,Montreal Canadiens,41,19,16,0,6,Replaced Midseason
Bob Gainey,Montreal Canadiens,41,23,15,0,3,Midseason Replacement
Pat Quinn,Toronto Maple Leafs,82,41,33,0,8,
Mike Sullivan,Boston Bruins,82,29,37,0,16,
Darryl Sutter,Calgary Flames,82,46,25,0,11,
Craig MacTavish,Edmonton Oilers,82,41,28,0,13,
Joel Quenneville,Colorado Avalanche,82,43,30,0,9,
Marc Crawford,Vancouver Canucks,82,42,32,0,8,
Jacques Lemaire,Minnesota Wild,82,38,36,0,8,
Dave Tippett,Dallas Stars,82,53,23,0,6,
Ron Wilson,San Jose Sharks,82,44,27,0,11,
Randy Carlyle,Anaheim Mighty Ducks,82,43,27,0,12,
Andy Murray,Los Angeles Kings,70,37,28,0,5,Replaced Midseason
John Torchetti,Los Angeles Kings,12,5,7,0,0,Midseason Replacement
Wayne Gretzky,Phoenix Coyotes,82,38,39,0,5,
Peter Laviolette,Carolina Hurricanes,82,52,22,0,8,
John Tortorella,Tampa Bay Lightning,82,43,33,0,6,
Bob Hartley,Atlanta Thrashers,82,41,33,0,8,
Jacques Martin,Florida Panthers,82,37,34,0,11,
Glen Hanlon,Washington Capitals,82,29,41,0,12,
