Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Jon Cooper,Tampa Bay Lightning,82,54,23,0,5,
Bruce Cassidy,Boston Bruins,82,50,20,0,12,
Mike Babcock,Toronto Maple Leafs,82,49,26,0,7,
Bob Boughner,Florida Panthers,82,44,30,0,8,
Jeff Blashill,Detroit Red Wings,82,30,39,0,13,
Claude Julien,Montreal Canadiens,82,29,40,0,13,
Guy Boucher,Ottawa Senators,82,28,43,0,11,
Phil Housley,Buffalo Sabres,82,25,45,0,12,
Peter Laviolette,Nashville Predators,82,53,18,0,11,
Paul Maurice,Winnipeg Jets,82,52,20,0,10,
Bruce Boudreau,Minnesota Wild,82,45,26,0,11,
Jared Bednar,Colorado Avalanche,82,43,30,0,9,
Mike Yeo,St. Louis Blues,82,44,32,0,6,
Ken Hitchcock,Dallas Stars,82,42,32,0,8,
Joel Quenneville,Chicago Blackhawks,82,33,39,0,10,
Barry Trotz,Washington Capitals,82,49,26,0,7,
Mike Sullivan,Pittsburgh Penguins,82,47,29,0,6,
Dave Hakstol,Philadelphia Flyers,82,42,26,0,14,
John Tortorella,Columbus Blue Jackets,82,45,30,0,7,
John Hynes,New Jersey Devils,82,44,29,0,9,
Bill Peters,Carolina Hurricanes,82,36,35,0,11,
Doug Weight,New York Islanders,82,35,37,0,10,
Alain Vigneault,New York Rangers,82,34,39,0,9,
Gerard Gallant,Vegas Golden Knights,82,51,24,0,7,
Randy Carlyle,Anaheim Ducks,82,44,25,0,13,
Peter DeBoer,San Jose Sharks,82,45,27,0,10,
John Stevens,Los Angeles Kings,82,45,29,0,8,
Glen Gulutzan,Calgary Flames,82,37,35,0,10,
Todd McLellan,Edmonton Oilers,82,36,40,0,6,
Travis Green,Vancouver Canucks,82,31,40,0,11,
Rick Tocchet,Arizona Coyotes,82,29,41,0,12,
