Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Jon Cooper,Tampa Bay Lightning,82,62,16,0,4,
Bruce Cassidy,Boston Bruins,82,49,24,0,9,
Mike Babcock,Toronto Maple Leafs,82,46,28,0,8,
Claude Julien,Montreal Canadiens,82,44,30,0,8,
Bob Boughner,Florida Panthers,82,36,32,0,14,
Phil Housley,Buffalo Sabres,82,33,39,0,10,
Jeff Blashill,Detroit Red Wings,82,32,40,0,10,
Guy Boucher,Ottawa Senators,64,22,37,0,5,Replaced Midseason
Marc Crawford,Ottawa Senators,18,7,10,0,1,Midseason Replacement
Peter Laviolette,Nashville Predators,82,47,29,0,6,
Mike Yeo,St. Louis Blues,19,7,9,0,3,Replaced Midseason
Craig Berube,St. Louis Blues,63,38,19,0,6,Midseason Replacement
Paul Maurice,Winnipeg Jets,82,47,30,0,5,
Jim Montgomery,Dallas Stars,82,43,32,0,7,
Jared Bednar,Colorado Avalanche,82,38,30,0,14,
Joel Quenneville,Chicago Blackhawks,15,6,6,0,3,Replaced Midseason
Jeremy Colliton,Chicago Blackhawks,67,30,28,0,9,Midseason Replacement
Bruce Boudreau,Minnesota Wild,82,37,36,0,9,
Todd Reirden,Washington Capitals,82,48,26,0,8,
Barry Trotz,New York Islanders,82,48,27,0,7,
Mike Sullivan,Pittsburgh Penguins,82,44,26,0,12,
Rod Brind'Amour,Carolina Hurricanes,82,46,29,0,7,
John Tortorella,Columbus Blue Jackets,82,47,31,0,4,
Dave Hakstol,Philadelphia Flyers,31,12,15,0,4,Replaced Midseason
Scott Gordon,Philadelphia Flyers,51,25,22,0,4,Midseason Replacement
David Quinn,New York Rangers,82,32,36,0,14,
John Hynes,New Jersey Devils,82,31,41,0,10,
Bill Peters,Calgary Flames,82,50,25,0,7,
Peter DeBoer,San Jose Sharks,82,46,27,0,9,
Gerard Gallant,Vegas Golden Knights,82,43,32,0,7,
Rick Tocchet,Arizona Coyotes,82,39,35,0,8,
Travis Green,Vancouver Canucks,82,35,36,0,11,
Randy Carlyle,Anaheim Ducks,56,21,26,0,9,Replaced Midseason
Bob Murray,Anaheim Ducks,26,14,11,0,1,Midseason Replacement
Todd McLellan,Edmonton Oilers,20,9,10,0,1,Replaced Midseason
Ken Hitchcock,Edmonton Oilers,62,26,28,0,8,Midseason Replacement
John Stevens,Los Angeles Kings,13,4,8,0,1,Replaced Midseason
Willie Desjardins,Los Angeles Kings,69,27,34,0,8,Midseason Replacement
