Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Larry Robinson,New Jersey Devils,82,48,19,12,3,
Craig Ramsay,Philadelphia Flyers,28,12,12,4,0,Replaced Midseason
Bill Barber,Philadelphia Flyers,54,31,13,7,3,Midseason Replacement
Ivan Hlinka,Pittsburgh Penguins,82,42,28,9,3,
Ron Low,New York Rangers,82,33,43,5,1,
"Robert ""Butch"" Goring",New York Islanders,66,18,40,5,3,Replaced Midseason
Lorne Henning,New York Islanders,16,3,11,2,0,Midseason Replacement
"William ""Scotty"" Bowman",Detroit Red Wings,82,49,20,9,4,
Joel Quenneville,St. Louis Blues,82,43,22,12,5,
Barry Trotz,Nashville Predators,82,34,36,9,3,
Alpo Suhonen,Chicago Blackhawks,82,29,40,8,5,
Dave King,Columbus Blue Jackets,82,28,39,9,6,
Jacques Martin,Ottawa Senators,82,48,21,9,4,
Lindy Ruff,Buffalo Sabres,82,46,30,5,1,
Pat Quinn,Toronto Maple Leafs,82,37,29,11,5,
Pat Burns,Boston Bruins,8,3,4,1,0,Replaced Midseason
Mike Keenan,Boston Bruins,74,33,26,7,8,Midseason Replacement
Alain Vigneault,Montreal Canadiens,20,5,13,2,0,Replaced Midseason
Michel Therrien,Montreal Canadiens,62,23,27,6,6,Midseason Replacement
Bob Hartley,Colorado Avalanche,82,52,16,10,4,
Craig MacTavish,Edmonton Oilers,82,39,28,12,3,
Marc Crawford,Vancouver Canucks,82,36,28,11,7,
Don Hay,Calgary Flames,68,23,28,13,4,Replaced Midseason
Greg Gilbert,Calgary Flames,14,4,8,2,0,Midseason Replacement
Jacques Lemaire,Minnesota Wild,82,25,39,13,5,
Ken Hitchcock,Dallas Stars,82,48,24,8,2,
Darryl Sutter,San Jose Sharks,82,40,27,12,3,
Andy Murray,Los Angeles Kings,82,38,28,13,3,
Bob Francis,Phoenix Coyotes,82,35,27,17,3,
Craig Hartsburg,Anaheim Mighty Ducks,33,11,15,4,3,Replaced Midseason
Guy Charron,Anaheim Mighty Ducks,49,14,26,7,2,Midseason Replacement
Ron Wilson,Washington Capitals,82,41,27,10,4,
Paul Maurice,Carolina Hurricanes,82,38,32,9,3,
Terry Murray,Florida Panthers,36,6,18,7,5,Replaced Midseason
Duane Sutter,Florida Panthers,46,16,20,6,4,Midseason Replacement
Curt Fraser,Atlanta Thrashers,82,23,45,12,2,
Steve Ludzik,Tampa Bay Lightning,39,12,20,5,2,Replaced Midseason
John Tortorella,Tampa Bay Lightning,43,12,27,1,3,Midseason Replacement
