Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
John Tortorella,New York Rangers,82,51,24,0,7,
Dan Bylsma,Pittsburgh Penguins,82,51,25,0,6,
Peter Laviolette,Philadelphia Flyers,82,47,26,0,9,
Peter DeBoer,New Jersey Devils,82,48,28,0,6,
Jack Capuano,New York Islanders,82,34,37,0,11,
Davis Payne,St. Louis Blues,13,6,7,0,0,Replaced Midseason
Ken Hitchcock,St. Louis Blues,69,43,15,0,11,Midseason Replacement
Barry Trotz,Nashville Predators,82,48,26,0,8,
Mike Babcock,Detroit Red Wings,82,48,28,0,6,
Joel Quenneville,Chicago Blackhawks,82,45,26,0,11,
Scott Arniel,Columbus Blue Jackets,41,11,25,0,5,
Todd Richards,Columbus Blue Jackets,41,18,21,0,2,
Claude Julien,Boston Bruins,82,49,29,0,4,
Paul MacLean,Ottawa Senators,82,41,31,0,10,
Lindy Ruff,Buffalo Sabres,82,39,32,0,11,
Ron Wilson,Toronto Maple Leafs,64,29,28,0,7,Replaced Midseason
Randy Carlyle,Toronto Maple Leafs,18,6,9,0,3,Midseason Replacement
Jacques Martin,Montreal Canadiens,32,13,12,0,7,Replaced Midseason
Randy Cunneyworth,Montreal Canadiens,50,18,23,0,9,Midseason Replacement
Alain Vigneault,Vancouver Canucks,82,51,22,0,9,
Brent Sutter,Calgary Flames,82,37,29,0,16,
Joe Sacco,Colorado Avalanche,82,41,35,0,6,
Mike Yeo,Minnesota Wild,82,35,36,0,11,
Tom Renney,Edmonton Oilers,82,32,40,0,10,
Dave Tippett,Phoenix Coyotes,82,42,27,0,13,
Todd McLellan,San Jose Sharks,82,43,29,0,10,
Terry Murray,Los Angeles Kings,29,13,12,0,4,Replaced Midseason
John Stevens,Los Angeles Kings,4,2,2,0,0,Midseason Replacement and Replaced Midseason
Darryl Sutter,Los Angeles Kings,49,25,13,0,11,Midseason Replacement
Glen Gulutzan,Dallas Stars,82,42,35,0,5,
Randy Carlyle,Anaheim Ducks,24,7,13,0,4,Replaced Midseason
Bruce Boudreau,Anaheim Ducks,58,27,23,0,8,Midseason Replacement
Kevin Dineen,Florida Panthers,82,38,26,0,18,
Bruce Boudreau,Washington Capitals,22,12,9,0,1,Replaced Midseason
Dale Hunter,Washington Capitals,60,30,23,0,7,Midseason Replacement
Guy Boucher,Tampa Bay Lightning,82,38,36,0,8,
Claude Noel,Winnipeg Jets,82,37,35,0,10,
Paul Maurice,Carolina Hurricanes,25,8,13,0,4,Replaced Midseason
Kirk Muller,Carolina Hurricanes,57,25,20,0,12,Midseason Replacement
