Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Bruce Cassidy,Boston Bruins,70,44,14,0,12,
Jon Cooper,Tampa Bay Lightning,70,43,21,0,6,
Mike Babcock,Toronto Maple Leafs,23,9,10,0,4,Replaced Midseason
Sheldon Keefe,Toronto Maple Leafs,47,27,15,0,5,Midseason Replacement
Joel Quenneville,Florida Panthers,69,35,26,0,8,
Claude Julien,Montreal Canadiens,71,31,31,0,9,
Ralph Krueger,Buffalo Sabres,69,30,31,0,8,
D.J. Smith,Ottawa Senators,71,25,34,0,12,
Jeff Blashill,Detroit Red Wings,71,17,49,0,5,
Craig Berube,St. Louis Blues,71,42,19,0,10,
Jared Bednar,Colorado Avalanche,70,42,20,0,8,
Jim Montgomery,Dallas Stars,31,17,11,0,3,Replaced Midseason
Rick Bowness,Dallas Stars,38,20,13,0,5,Midseason Replacement
Paul Maurice,Winnipeg Jets,71,37,28,0,6,
Peter Laviolette,Nashville Predators,41,19,15,0,7,Replaced Midseason
John Hynes,Nashville Predators,28,16,11,0,1,Midseason Replacement
Bruce Boudreau,Minnesota Wild,57,27,23,0,7,Replaced Midseason
Dean Evason,Minnesota Wild,12,8,4,0,0,Midseason Replacement
Jeremy Colliton,Chicago Blackhawks,70,32,30,0,8,
Todd Reirden,Washington Capitals,69,41,20,0,8,
Alain Vigneault,Philadelphia Flyers,69,41,21,0,7,
Mike Sullivan,Pittsburgh Penguins,69,40,23,0,6,
John Tortorella,Columbus Blue Jackets,70,33,22,0,15,
Rod Brind'Amour,Carolina Hurricanes,68,38,25,0,5,
Barry Trotz,New York Islanders,68,35,23,0,10,
David Quinn,New York Rangers,70,37,28,0,5,
John Hynes,New Jersey Devils,26,9,13,0,4,Replaced Midseason
Alain Nasreddine,New Jersey Devils,43,19,16,0,8,Midseason Replacement
Gerard Gallant,Vegas Golden Knights,49,24,19,0,6,Replaced Midseason
Peter DeBoer,Vegas Golden Knights,22,15,5,0,2,Midseason Replacement
Dave Tippett,Edmonton Oilers,71,37,25,0,9,
Bill Peters,Calgary Flames,28,12,12,0,4,Replaced Midseason
Geoff Ward,Calgary Flames,42,24,15,0,3,Midseason Replacement
Travis Green,Vancouver Canucks,69,36,27,0,6,
Rick Tocchet,Arizona Coyotes,70,33,29,0,8,
Dallas Eakins,Anaheim Ducks,71,29,33,0,9,
Todd McLellan,Los Angeles Kings,70,29,35,0,6,
Peter DeBoer,San Jose Sharks,33,15,16,0,2,Replaced Midseason
Bob Boughner,San Jose Sharks,37,14,20,0,3,Midseason Replacement
