Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Michel Therrien,Montreal Canadiens,58,31,19,0,8,Replaced Midseason
Claude Julien,Montreal Canadiens,24,16,7,0,1,Midseason Replacement
Guy Boucher,Ottawa Senators,82,44,28,0,10,
Mike Babcock,Toronto Maple Leafs,82,40,27,0,15,
Claude Julien,Boston Bruins,55,26,23,0,6,Replaced Midseason
Bruce Cassidy,Boston Bruins,27,18,8,0,1,Midseason Replacement
Jon Cooper,Tampa Bay Lightning,82,42,30,0,10,
Gerard Gallant,Florida Panthers,22,11,10,0,1,Replaced Midseason
Tom Rowe,Florida Panthers,60,24,26,0,10,Midseason Replacement
Jeff Blashill,Detroit Red Wings,82,33,36,0,13,
Dan Bylsma,Buffalo Sabres,82,33,37,0,12,
Joel Quenneville,Chicago Blackhawks,82,50,23,0,9,
Bruce Boudreau,Minnesota Wild,82,49,25,0,8,
Ken Hitchcock,St. Louis Blues,50,24,21,0,5,Replaced Midseason
Mike Yeo,St. Louis Blues,32,22,8,0,2,Midseason Replacement
Peter Laviolette,Nashville Predators,82,41,29,0,12,
Paul Maurice,Winnipeg Jets,82,40,35,0,7,
Lindy Ruff,Dallas Stars,82,34,37,0,11,
Jared Bednar,Colorado Avalanche,82,22,56,0,4,
Barry Trotz,Washington Capitals,82,55,19,0,8,
Mike Sullivan,Pittsburgh Penguins,82,50,21,0,11,
John Tortorella,Columbus Blue Jackets,82,50,24,0,8,
Alain Vigneault,New York Rangers,82,48,28,0,6,
Jack Capuano,New York Islanders,42,17,17,0,8,Replaced Midseason
Doug Weight,New York Islanders,40,24,12,0,4,Midseason Replacement
Dave Hakstol,Philadelphia Flyers,82,39,33,0,10,
Bill Peters,Carolina Hurricanes,82,36,31,0,15,
John Hynes,New Jersey Devils,82,28,40,0,14,
Randy Carlyle,Anaheim Ducks,82,46,23,0,13,
Todd McLellan,Edmonton Oilers,82,47,26,0,9,
Peter DeBoer,San Jose Sharks,82,46,29,0,7,
Glen Gulutzan,Calgary Flames,82,45,33,0,4,
Darryl Sutter,Los Angeles Kings,82,39,35,0,8,
Dave Tippett,Arizona Coyotes,82,30,42,0,10,
Willie Desjardins,Vancouver Canucks,82,30,43,0,9,
