Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Claude Julien,Boston Bruins,82,54,19,0,9,
Jon Cooper,Tampa Bay Lightning,82,46,27,0,9,
Michel Therrien,Montreal Canadiens,82,46,28,0,8,
Mike Babcock,Detroit Red Wings,82,39,28,0,15,
Paul MacLean,Ottawa Senators,82,37,31,0,14,
Randy Carlyle,Toronto Maple Leafs,82,38,36,0,8,
Kevin Dineen,Florida Panthers,16,3,9,0,4,Replaced Midseason
Peter Horachek,Florida Panthers,66,26,36,0,4,Midseason Replacement
Ron Rolston,Buffalo Sabres,20,4,15,0,1,Replaced Midseason
Ted Nolan,Buffalo Sabres,62,17,36,0,9,Midseason Replacement
Patrick Roy,Colorado Avalanche,82,52,22,0,8,
Ken Hitchcock,St. Louis Blues,82,52,23,0,7,
Joel Quenneville,Chicago Blackhawks,82,46,21,0,15,
Mike Yeo,Minnesota Wild,82,43,27,0,12,
Lindy Ruff,Dallas Stars,82,40,31,0,11,
Barry Trotz,Nashville Predators,82,38,32,0,12,
Claude Noel,Winnipeg Jets,47,19,23,0,5,Replaced Midseason
Paul Maurice,Winnipeg Jets,35,18,12,0,5,Midseason Replacement
Dan Bylsma,Pittsburgh Penguins,82,51,24,0,7,
Alain Vigneault,New York Rangers,82,45,31,0,6,
Peter Laviolette,Philadelphia Flyers,3,0,3,0,0,Replaced Midseason
Craig Berube,Philadelphia Flyers,79,42,27,0,10,Midseason Replacement
Todd Richards,Columbus Blue Jackets,82,43,32,0,7,
Adam Oates,Washington Capitals,82,38,30,0,14,
Peter DeBoer,New Jersey Devils,82,35,29,0,18,
Kirk Muller,Carolina Hurricanes,82,36,35,0,11,
Jack Capuano,New York Islanders,82,34,37,0,11,
Bruce Boudreau,Anaheim Ducks,82,54,20,0,8,
Todd McLellan,San Jose Sharks,82,51,22,0,9,
Darryl Sutter,Los Angeles Kings,82,46,28,0,8,
Dave Tippett,Phoenix Coyotes,82,37,30,0,15,
John Tortorella,Vancouver Canucks,82,36,35,0,11,
Bob Hartley,Calgary Flames,82,35,40,0,7,
Dallas Eakins,Edmonton Oilers,82,29,44,0,9,
