Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Brent Sutter,New Jersey Devils,82,51,27,0,4,
Michel Therrien,Pittsburgh Penguins,57,27,25,0,5,Replaced Midseason
Dan Bylsma,Pittsburgh Penguins,25,18,3,0,4,Midseason Replacement
John Stevens,Philadelphia Flyers,82,44,27,0,11,
Tom Renney,New York Rangers,61,31,23,0,7,Replaced Midseason
John Tortorella,New York Rangers,21,12,7,0,2,Midseason Replacement
Scott Gordon,New York Islanders,82,26,47,0,9,
Mike Babcock,Detroit Red Wings,82,51,21,0,10,
Denis Savard,Chicago Blackhawks,4,1,2,0,1,Replaced Midseason
Joel Quenneville,Chicago Blackhawks,78,45,22,0,11,Midseason Replacement
Andy Murray,St. Louis Blues,82,41,31,0,10,
Ken Hitchcock,Columbus Blue Jackets,82,41,31,0,10,
Barry Trotz,Nashville Predators,82,40,34,0,8,
Claude Julien,Boston Bruins,82,53,19,0,10,
Guy Carbonneau,Montreal Canadiens,66,35,24,0,7,Replaced Midseason
Bob Gainey,Montreal Canadiens,16,6,6,0,4,Midseason Replacement
Lindy Ruff,Buffalo Sabres,82,41,32,0,9,
Craig Hartsburg,Ottawa Senators,48,17,24,0,7,Replaced Midseason
Cory Clouston,Ottawa Senators,34,19,11,0,4,Midseason Replacement
Ron Wilson,Toronto Maple Leafs,82,34,35,0,13,
Alain Vigneault,Vancouver Canucks,82,45,27,0,10,
Mike Keenan,Calgary Flames,82,46,30,0,6,
Jacques Lemaire,Minnesota Wild,82,40,33,0,9,
Craig MacTavish,Edmonton Oilers,82,38,35,0,9,
Tony Granato,Colorado Avalanche,82,32,45,0,5,
Todd McLellan,San Jose Sharks,82,53,18,0,11,
Randy Carlyle,Anaheim Ducks,82,42,33,0,7,
Dave Tippett,Dallas Stars,82,36,35,0,11,
Terry Murray,Los Angeles Kings,82,34,37,0,11,
Wayne Gretzky,Phoenix Coyotes,82,36,39,0,7,
Bruce Boudreau,Washington Capitals,82,50,24,0,8,
Peter Laviolette,Carolina Hurricanes,25,12,11,0,2,Replaced Midseason
Paul Maurice,Carolina Hurricanes,57,33,19,0,5,Midseason Replacement
Peter DeBoer,Florida Panthers,82,41,30,0,11,
John Anderson,Atlanta Thrashers,82,35,41,0,6,
Barry Melrose,Tampa Bay Lightning,16,5,7,0,4,Replaced Midseason
Rick Tocchet,Tampa Bay Lightning,66,19,33,0,14,Midseason Replacement
