Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Michel Therrien,Montreal Canadiens,82,50,22,0,10,
Jon Cooper,Tampa Bay Lightning,82,50,24,0,8,
Mike Babcock,Detroit Red Wings,82,43,25,0,14,
Paul MacLean,Ottawa Senators,27,11,11,0,5,Replaced Midseason
Dave Cameron,Ottawa Senators,55,32,15,0,8,Midseason Replacement
Claude Julien,Boston Bruins,82,41,27,0,14,
Gerard Gallant,Florida Panthers,82,38,29,0,15,
Randy Carlyle,Toronto Maple Leafs,40,21,16,0,3,Replaced Midseason
Peter Horachek,Toronto Maple Leafs,42,9,28,0,5,Midseason Replacement
Ted Nolan,Buffalo Sabres,82,23,51,0,8,
Ken Hitchcock,St. Louis Blues,82,51,24,0,7,
Peter Laviolette,Nashville Predators,82,47,25,0,10,
Joel Quenneville,Chicago Blackhawks,82,48,28,0,6,
Mike Yeo,Minnesota Wild,82,46,28,0,8,
Paul Maurice,Winnipeg Jets,82,43,26,0,13,
Lindy Ruff,Dallas Stars,82,41,31,0,10,
Patrick Roy,Colorado Avalanche,82,39,31,0,12,
Alain Vigneault,New York Rangers,82,53,22,0,7,
Jack Capuano,New York Islanders,82,47,28,0,7,
Barry Trotz,Washington Capitals,82,45,26,0,11,
Mike Johnston,Pittsburgh Penguins,82,43,27,0,12,
Todd Richards,Columbus Blue Jackets,82,42,35,0,5,
Craig Berube,Philadelphia Flyers,82,33,31,0,18,
Peter DeBoer,New Jersey Devils,36,12,17,0,7,Replaced Midseason
Lou Lamoriello,New Jersey Devils,46,20,19,0,7,Midseason Replacement
Bill Peters,Carolina Hurricanes,82,30,41,0,11,
Bruce Boudreau,Anaheim Ducks,82,51,24,0,7,
Willie Desjardins,Vancouver Canucks,82,48,29,0,5,
Bob Hartley,Calgary Flames,82,45,30,0,7,
Darryl Sutter,Los Angeles Kings,82,40,27,0,15,
Todd McLellan,San Jose Sharks,82,40,33,0,9,
Dallas Eakins,Edmonton Oilers,31,7,19,0,5,Replaced Midseason
Craig MacTavish,Edmonton Oilers,5,0,3,0,2,Midseason Replacement and Replaced Midseason
Todd Nelson,Edmonton Oilers,46,17,22,0,7,Midseason Replacement
Dave Tippett,Arizona Coyotes,82,24,50,0,8,
