Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Michel Therrien,Pittsburgh Penguins,82,47,27,0,8,
Brent Sutter,New Jersey Devils,82,46,29,0,7,
Tom Renney,New York Rangers,82,42,27,0,13,
John Stevens,Philadelphia Flyers,82,42,29,0,11,
Ted Nolan,New York Islanders,82,35,38,0,9,
Mike Babcock,Detroit Red Wings,82,54,21,0,7,
Barry Trotz,Nashville Predators,82,41,32,0,9,
Denis Savard,Chicago Blackhawks,82,40,34,0,8,
Ken Hitchcock,Columbus Blue Jackets,82,34,36,0,12,
Andy Murray,St. Louis Blues,82,33,36,0,13,
Guy Carbonneau,Montreal Canadiens,82,47,25,0,10,
Claude Julien,Boston Bruins,82,41,29,0,12,
John Paddock,Ottawa Senators,64,36,22,0,6,Replaced Midseason
Bryan Murray,Ottawa Senators,18,7,9,0,2,Midseason Replacement
Lindy Ruff,Buffalo Sabres,82,39,31,0,12,
Paul Maurice,Toronto Maple Leafs,82,36,35,0,11,
Jacques Lemaire,Minnesota Wild,82,44,28,0,10,
Joel Quenneville,Colorado Avalanche,82,44,31,0,7,
Mike Keenan,Calgary Flames,82,42,30,0,10,
Alain Vigneault,Vancouver Canucks,82,39,33,0,10,
Craig MacTavish,Edmonton Oilers,82,41,35,0,6,
Ron Wilson,San Jose Sharks,82,49,23,0,10,
Randy Carlyle,Anaheim Ducks,82,47,27,0,8,
Dave Tippett,Dallas Stars,82,45,30,0,7,
Wayne Gretzky,Phoenix Coyotes,82,38,37,0,7,
Marc Crawford,Los Angeles Kings,82,32,43,0,7,
Glen Hanlon,Washington Capitals,21,6,14,0,1,Replaced Midseason
Bruce Boudreau,Washington Capitals,61,37,17,0,7,Midseason Replacement
Peter Laviolette,Carolina Hurricanes,82,43,33,0,6,
Jacques Martin,Florida Panthers,82,38,35,0,9,
Bob Hartley,Atlanta Thrashers,6,0,6,0,0,Replaced Midseason
Don Waddell,Atlanta Thrashers,76,34,34,0,8,Midseason Replacement
John Tortorella,Tampa Bay Lightning,82,31,42,0,9,
