Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Bill Barber,Philadelphia Flyers,82,42,27,10,3,
Peter Laviolette,New York Islanders,82,42,28,8,4,
Larry Robinson,New Jersey Devils,51,21,20,7,3,Replaced Midseason
Kevin Constantine,New Jersey Devils,31,20,8,2,1,Midseason Replacement
Ron Low,New York Rangers,82,36,38,4,4,
Ivan Hlinka,Pittsburgh Penguins,4,0,4,0,0,Replaced Midseason
Rick Kehoe,Pittsburgh Penguins,78,28,37,8,5,Midseason Replacement
"William ""Scotty"" Bowman",Detroit Red Wings,82,51,17,10,4,
Joel Quenneville,St. Louis Blues,82,43,27,8,4,
Brian Sutter,Chicago Blackhawks,82,41,27,13,1,
Barry Trotz,Nashville Predators,82,28,41,13,0,
Dave King,Columbus Blue Jackets,82,22,47,8,5,
Robbie Ftorek,Boston Bruins,82,43,24,6,9,
Pat Quinn,Toronto Maple Leafs,82,43,25,10,4,
Roger Neilson,Ottawa Senators,2,1,1,0,0,Replaced Midseason
Jacques Martin,Ottawa Senators,80,38,26,9,7,Midseason Replacement
Michel Therrien,Montreal Canadiens,82,36,31,12,3,
Lindy Ruff,Buffalo Sabres,82,35,35,11,1,
Bob Hartley,Colorado Avalanche,82,45,28,8,1,
Marc Crawford,Vancouver Canucks,82,42,30,7,3,
Craig MacTavish,Edmonton Oilers,82,38,28,12,4,
Greg Gilbert,Calgary Flames,82,32,35,12,3,
Jacques Lemaire,Minnesota Wild,82,26,35,12,9,
Darryl Sutter,San Jose Sharks,82,44,27,8,3,
Andy Murray,Los Angeles Kings,82,40,27,11,4,
Bob Francis,Phoenix Coyotes,82,40,27,9,6,
Ken Hitchcock,Dallas Stars,50,23,17,6,4,Replaced Midseason
Rick Wilson,Dallas Stars,32,13,11,7,1,Midseason Replacement
Bryan Murray,Anaheim Mighty Ducks,82,29,42,8,3,
Paul Maurice,Carolina Hurricanes,82,35,26,16,5,
Ron Wilson,Washington Capitals,82,36,33,11,2,
John Tortorella,Tampa Bay Lightning,82,27,40,11,4,
Duane Sutter,Florida Panthers,26,6,15,2,3,Replaced Midseason
Mike Keenan,Florida Panthers,56,16,29,8,3,Midseason Replacement
Curt Fraser,Atlanta Thrashers,82,19,47,11,5,
