Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Ken Hitchcock,Philadelphia Flyers,82,40,21,15,6,
Pat Burns,New Jersey Devils,82,43,25,12,2,
Steve Stirling,New York Islanders,82,38,29,11,4,
Glen Sather,New York Rangers,54,22,25,7,0,Replaced Midseason
Tom Renney,New York Rangers,20,5,15,0,0,Midseason Replacement
Ed Olczyk,Pittsburgh Penguins,82,23,47,8,4,
Dave Lewis,Detroit Red Wings,82,48,21,11,2,
Joel Quenneville,St. Louis Blues,61,29,23,7,2,Replaced Midseason
Mike Kitchen,St. Louis Blues,21,10,7,4,0,Midseason Replacement
Barry Trotz,Nashville Predators,82,38,29,11,4,
Doug MacLean,Columbus Blue Jackets,33,9,20,4,0,Replaced Midseason
Gerard Gallant,Columbus Blue Jackets,45,16,25,4,0,Midseason Replacement
Brian Sutter,Chicago Blackhawks,82,20,43,11,8,
Mike Sullivan,Boston Bruins,82,41,19,15,7,
Pat Quinn,Toronto Maple Leafs,82,45,24,10,3,
Jacques Martin,Ottawa Senators,82,43,23,10,6,
Claude Julien,Montreal Canadiens,82,41,30,7,4,
Lindy Ruff,Buffalo Sabres,82,37,34,7,4,
Marc Crawford,Vancouver Canucks,82,43,24,10,5,
Tony Granato,Colorado Avalanche,82,40,22,13,7,
Darryl Sutter,Calgary Flames,82,42,30,7,3,
Craig MacTavish,Edmonton Oilers,82,36,29,12,5,
Jacques Lemaire,Minnesota Wild,82,30,29,20,3,
Ron Wilson,San Jose Sharks,82,43,21,12,6,
Dave Tippett,Dallas Stars,82,41,26,13,2,
Andy Murray,Los Angeles Kings,82,28,29,16,9,
Mike Babcock,Anaheim Mighty Ducks,82,29,35,10,8,
Bob Francis,Phoenix Coyotes,62,20,24,15,3,Replaced Midseason
Rick Bowness,Phoenix Coyotes,20,2,12,3,3,Midseason Replacement
John Tortorella,Tampa Bay Lightning,82,46,22,8,6,
Bob Hartley,Atlanta Thrashers,82,33,37,8,4,
Paul Maurice,Carolina Hurricanes,30,8,12,8,2,Replaced Midseason
Peter Laviolette,Carolina Hurricanes,52,20,26,6,0,Midseason Replacement
Mike Keenan,Florida Panthers,15,5,8,2,0,Replaced Midseason
Rick Dudley,Florida Panthers,40,13,15,9,3,Midseason Replacement and Replaced Midseason
John Torchetti,Florida Panthers,27,10,12,4,1,Midseason Replacement
Bruce Cassidy,Washington Capitals,25,8,16,1,0,Replaced Midseason
Glen Hanlon,Washington Capitals,54,15,30,9,0,Midseason Replacement
