Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Rod Brind'Amour,Carolina Hurricanes,56,36,12,0,8,
Joel Quenneville,Florida Panthers,56,37,14,0,5,
Jon Cooper,Tampa Bay Lightning,56,36,17,0,3,
John Hynes,Nashville Predators,56,31,23,0,2,
Rick Bowness,Dallas Stars,56,23,19,0,14,
Jeremy Colliton,Chicago Blackhawks,56,24,25,0,7,
Jeff Blashill,Detroit Red Wings,56,19,27,0,10,
John Tortorella,Columbus Blue Jackets,56,18,26,0,12,
Mike Sullivan,Pittsburgh Penguins,56,37,16,0,3,
Peter Laviolette,Washington Capitals,56,36,15,0,5,
Bruce Cassidy,Boston Bruins,56,33,16,0,7,
Barry Trotz,New York Islanders,56,32,17,0,7,
David Quinn,New York Rangers,56,27,23,0,6,
Alain Vigneault,Philadelphia Flyers,56,25,23,0,8,
Lindy Ruff,New Jersey Devils,56,19,30,0,7,
Ralph Krueger,Buffalo Sabres,28,6,18,0,4,Replaced Midseason
Don Granato,Buffalo Sabres,28,9,16,0,3,Midseason Replacement
Sheldon Keefe,Toronto Maple Leafs,56,35,14,0,7,
Dave Tippett,Edmonton Oilers,56,35,19,0,2,
Paul Maurice,Winnipeg Jets,56,30,23,0,3,
Claude Julien,Montreal Canadiens,18,9,5,0,4,Replaced Midseason
Dom Ducharme,Montreal Canadiens,38,15,16,0,7,Midseason Replacement
Darryl Sutter,Calgary Flames,56,26,27,0,3,
D.J. Smith,Ottawa Senators,56,23,28,0,5,
Travis Green,Vancouver Canucks,56,23,29,0,4,
Peter DeBoer,Vegas Golden Knights,56,40,14,0,2,
Jared Bednar,Colorado Avalanche,56,39,13,0,4,
Dean Evason,Minnesota Wild,56,35,16,0,5,
Craig Berube,St. Louis Blues,56,27,20,0,9,
Rick Tocchet,Arizona Coyotes,56,24,26,0,6,
Todd McLellan,Los Angeles Kings,56,21,28,0,7,
Bob Boughner,San Jose Sharks,56,21,28,0,7,
Dallas Eakins,Anaheim Ducks,56,17,30,0,9,
