Coach,Team,Games Played,Wins,Losses,Ties,Overtime Losses,Notes
Dan Bylsma,Pittsburgh Penguins,82,49,25,0,8,
Peter Laviolette,Philadelphia Flyers,82,47,23,0,12,
John Tortorella,New York Rangers,82,44,33,0,5,
John MacLean,New Jersey Devils,33,9,22,0,2,Replaced Midseason
Jacques Lemaire,New Jersey Devils,49,29,17,0,3,Midseason Replacement
Scott Gordon,New York Islanders,17,4,10,0,3,Replaced Midseason
Jack Capuano,New York Islanders,65,26,29,0,10,Midseason Replacement
Mike Babcock,Detroit Red Wings,82,47,25,0,10,
Barry Trotz,Nashville Predators,82,44,27,0,11,
Joel Quenneville,Chicago Blackhawks,82,44,29,0,9,
Davis Payne,St. Louis Blues,82,38,33,0,11,
Scott Arniel,Columbus Blue Jackets,82,34,35,0,13,
Claude Julien,Boston Bruins,82,46,25,0,11,
Jacques Martin,Montreal Canadiens,82,44,30,0,8,
Lindy Ruff,Buffalo Sabres,82,43,29,0,10,
Ron Wilson,Toronto Maple Leafs,82,37,34,0,11,
Cory Clouston,Ottawa Senators,82,32,40,0,10,
Alain Vigneault,Vancouver Canucks,82,54,19,0,9,
Brent Sutter,Calgary Flames,82,41,29,0,12,
Todd Richards,Minnesota Wild,82,39,35,0,8,
Joe Sacco,Colorado Avalanche,82,30,44,0,8,
Tom Renney,Edmonton Oilers,82,25,45,0,12,
Todd McLellan,San Jose Sharks,82,48,25,0,9,
Dave Tippett,Phoenix Coyotes,82,43,26,0,13,
Randy Carlyle,Anaheim Ducks,82,47,30,0,5,
Terry Murray,Los Angeles Kings,82,46,30,0,6,
Marc Crawford,Dallas Stars,82,42,29,0,11,
Bruce Boudreau,Washington Capitals,82,48,23,0,11,
Guy Boucher,Tampa Bay Lightning,82,46,25,0,11,
Paul Maurice,Carolina Hurricanes,82,40,31,0,11,
Craig Ramsay,Atlanta Thrashers,82,34,36,0,12,
Peter DeBoer,Florida Panthers,82,30,40,0,12,
